number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15051,KLK,20.44,-25.45,Trachylepis sparsa,J,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,no,no,0.035
15052,KLK,20.44,-25.45,Trachylepis spilogaster,M,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.05
15053,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-27,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,no,no,0.025
15054,KLK,20.44,-25.45,Pedioplanis lineoocellata,NA,1969-11-27,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,NA,no,0.015
15055,KLL,20.43,-26.23,Heliobolus lugubris,M,1969-11-28,10.37,NA,51,NA,NA,NA,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1022,spring,diurnal,no,no,0.3
15056,KLL,20.43,-26.23,Heliobolus lugubris,M,1969-11-28,10.62,NA,51,152,37,27.6,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1037,spring,diurnal,no,no,0.05
15057,KLL,20.43,-26.23,Heliobolus lugubris,F,1969-11-28,10.67,NA,55,140,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1040,spring,diurnal,no,no,0.1
15058,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,10.75,NA,53,111,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1045,spring,diurnal,no,no,0.03
15059,KLL,20.43,-26.23,Heliobolus lugubris,F,1969-11-28,10.93,NA,55,106,39.8,29.4,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1056,spring,diurnal,no,no,0.35
15060,KLL,20.43,-26.23,Pedioplanis lineoocellata,M,1969-11-28,11.1,NA,62,139,35.8,30.4,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1106,spring,diurnal,yes,no,0.07
15061,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,11.45,NA,53,125,36,27,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1127,spring,diurnal,no,no,0.025
15062,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,11.92,NA,74,96,34,29.6,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1155,spring,diurnal,yes,no,0.1
15063,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,12.18,NA,69,99,33.8,31,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1211,spring,diurnal,no,no,0.15
15064,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,12.33,NA,71,80,33,29.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1220,spring,diurnal,no,no,0.15
15065,KLL,20.43,-26.23,Agama aculeata,F,1969-11-28,12.42,NA,118,154,35.2,32,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1225,spring,diurnal,yes,no,0.9
15066,KLL,20.43,-26.23,Meroles suborbitalis,F,1969-11-28,13.62,NA,59,105,37,29.4,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1337,spring,diurnal,yes,no,0.11
15067,KLL,20.43,-26.23,Meroles suborbitalis,M,1969-11-28,15.53,NA,55,117,35.6,32,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1532,spring,diurnal,yes,no,0.18
15068,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,NA,NA,56,NA,38,32.8,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.06
15069,KLL,20.43,-26.23,Pedioplanis lineoocellata,M,1969-11-28,15.97,NA,61,142,35.4,32.4,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1558,spring,diurnal,yes,no,0.065
15070,KLL,20.43,-26.23,Pedioplanis namaquensis,F,1969-11-28,10.25,NA,50,NA,38.6,26,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1015,spring,diurnal,no,no,0.11
15071,KLL,20.43,-26.23,Pedioplanis lineoocellata,M,1969-11-28,10.75,NA,61,129,NA,NA,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1045,spring,diurnal,yes,no,0.08
15072,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,10.83,NA,51,NA,NA,NA,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1050,spring,diurnal,no,no,0.125
15073,KLL,20.43,-26.23,Pedioplanis lineoocellata,F,1969-11-28,NA,NA,56,126,38.4,30,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,NA,spring,diurnal,yes,no,0.09
15074,KLL,20.43,-26.23,Trachylepis sparsa,M,1969-11-28,11.28,NA,81,118,31.4,29.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1117,spring,diurnal,yes,no,0.25
15075,KLL,20.43,-26.23,Trachylepis sparsa,F,1969-11-28,11.42,NA,81,116,31.4,29.5,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1125,spring,diurnal,yes,no,0.1
15076,KLL,20.43,-26.23,Pedioplanis namaquensis,M,1969-11-28,11.5,NA,51,125,NA,NA,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1130,spring,diurnal,no,no,NA
