SVL,HL,HW,HD,JL,FLL,HLL,FFL,HFL,Tail,Site,Number,Genus_species
51,10.5,6.8,5.5,11.9,14,26,7,14,122,L,2176,Ctenotus_quatt
44,9.3,5.5,5.1,10.8,12,21,7,11,90,L,2204,Ctenotus_quatt
59,11.7,7,6.9,13.3,16,26,8,14,96,L,2205,Ctenotus_quatt
33,7.8,4.2,3.6,8.9,10,17,5,9,5,L,2337,Ctenotus_quatt
50,10.3,6,4.8,11.9,12,24,6,14,62,L,2345,Ctenotus_quatt
32,7.2,4.3,3.9,8.2,10,17,4,10,58,L,2387,Ctenotus_quatt
57,11.4,11.6,10.6,13.9,16,25,7,14,44,L,2395,Ctenotus_quatt
34,8.3,4.6,3.8,9.2,10,18,5,10,68,L,2405,Ctenotus_quatt
32,7.2,4.5,4.3,8.5,10,16,4,10,64,L,2408,Ctenotus_quatt
49,9.9,6.3,5.2,11.6,15,26,7,12,102,L,2412,Ctenotus_quatt
63,11.7,7.3,6.9,13.3,15,28,8,15,43,L,2415,Ctenotus_quatt
62,12.6,8.4,7.2,14.5,18,29,8,15,21,L,2418,Ctenotus_quatt
52,9.8,6,5.1,11.1,15,27,6,14,90,L,2427,Ctenotus_quatt
65,12.2,7.4,6.6,13.2,19,30,8,15,116,L,2444,Ctenotus_quatt
65,11.6,7.8,6.6,12.7,18,30,7,15,110,L,2445,Ctenotus_quatt
31.5,6.8,4.2,3,7.5,10,16,5,9,59,L,2598,Ctenotus_quatt
47,10,5.8,4.8,11.1,12,25,5,15,114,L,2603,Ctenotus_quatt
50,10,5.7,4.7,11.3,15,25,5,13,52,L,2607,Ctenotus_quatt
50,9.2,5.6,4.7,10,16,27,7,14,114,L,2608,Ctenotus_quatt
60,11.5,6.2,5.4,12.4,17,27,8,19,98,L,2616,Ctenotus_quatt
52,10.1,6.2,5.6,11.3,16,26,7,14,109,L,2617,Ctenotus_quatt
49,10,6.2,5.3,11.5,15,25,6,13,104,L,2619,Ctenotus_quatt
66,11.5,7,6.5,13.3,16,26,8,13,95,L,2621,Ctenotus_quatt
50,10.4,6.5,5,11.9,16,27,7,14,103,L,2622,Ctenotus_quatt
49,10.5,6.2,6.4,10.2,16,25,7,13,120,L,2625,Ctenotus_quatt
36.5,8,4.6,4,9,12,17,6,10,77,L,2629,Ctenotus_quatt
52,10.8,6.6,5.8,12.6,14,29,7,15,129,L,2806,Ctenotus_quatt
31,7.5,4.5,3.3,8.3,9,15,4,10,57,L,2815,Ctenotus_quatt
49,10,5.8,4.8,11.6,14,25,6,13,41,L,2853,Ctenotus_quatt
47,10.4,6.4,6.5,11.9,13,22,7,13,65,L,2863,Ctenotus_quatt
50,9.7,6.6,6.4,10.9,15,25,7,14,48,L,2871,Ctenotus_quatt
49,10,11.3,10.5,11.2,13,25,6,12,102,L,2872,Ctenotus_quatt
62,12.3,7.5,6.7,13.1,17,25,7,14,117,L,2873,Ctenotus_quatt
56,11.1,6.7,5.9,13,16,28,7,15,120,L,2882,Ctenotus_quatt
64,12.3,12.5,6.6,13.9,17,30,8,13,92,L,2889,Ctenotus_quatt
56,11.4,6.8,5.9,12.5,16,26,8,13,118,L,2890,Ctenotus_quatt
51,10,5.9,6,12.2,14,25,7,13,49,L,2896,Ctenotus_quatt
57,12.1,7.5,6.7,14.2,17,29,8,15,19,L,2902,Ctenotus_quatt
60,12.4,7.8,6.9,14.2,17,30,8,15,52,L,2907,Ctenotus_quatt
76,12.4,8,7.3,14.7,17,29,8,16,47,L,2910,Ctenotus_quatt
64,11.6,6.8,6.7,13.9,17,31,7,14,27,L,2928,Ctenotus_quatt
64,11.9,6.9,7,13.7,17,31,8,15,112,L,2929,Ctenotus_quatt
53,10.5,6.5,5.4,12.3,15,26,8,13,60,L,2930,Ctenotus_quatt
68,11.9,8,7.5,14.7,18,30,9,14,132,L,2944,Ctenotus_quatt
64,11.8,7,7.5,13.9,17,29,7,16,99,L,2947,Ctenotus_quatt
48,9.6,6.2,5,11.3,13,24,6,12,84,L,2948,Ctenotus_quatt
50,10.9,6.8,5.4,15,13,26,7,14,115,L,2952,Ctenotus_quatt
63,11.7,7.4,6.7,13.1,17,28,8,14,123,L,2964,Ctenotus_quatt
47,9.8,6.3,5.4,11.2,14,25,7,13,105,L,2965,Ctenotus_quatt
67,12.1,7.7,6.8,13.8,17,27,7,13,102,L,2970,Ctenotus_quatt
63,11.9,8.1,7.5,14,18,29,9,14,134,L,2973,Ctenotus_quatt
61,11.3,7.2,6,13.5,16,26,8,15,54,L,2976,Ctenotus_quatt
53,10.3,6.9,6.6,13.4,15,26,6,14,56,L,2993,Ctenotus_quatt
61,11.9,7.6,7,14.8,15,30,6,14,138,L,2998,Ctenotus_quatt
61,12.3,7.9,7.5,14.6,15,28,8,15,112,L,3000,Ctenotus_quatt
34,9.2,5.5,4,10.6,10,18,5,10,72,L,3001,Ctenotus_quatt
65,11.8,7.6,6.5,13.7,16,29,8,15,120,L,3002,Ctenotus_quatt
56,10.9,6.5,6.1,12.8,15,27,8,15,14,L,3009,Ctenotus_quatt
53,10.2,6.5,5.6,12.8,15,26,6,13,9,L,3010,Ctenotus_quatt
66,11.9,7.5,7,14.2,16,28,7,13,38,L,3013,Ctenotus_quatt
58,11.5,7,5.9,13.6,17,30,7,15,99,L,3016,Ctenotus_quatt
59,12,7.9,7.5,14.2,16,27,8,14,76,L,3018,Ctenotus_quatt
63,12.6,7.9,6.7,15,15,30,8,15,114,L,3021,Ctenotus_quatt
49,10.8,6.4,5.7,12.8,15,26,7,14,67,L,3023,Ctenotus_quatt
54,10.6,6.2,5.3,12.4,14,26,6,13,115,L,3029,Ctenotus_quatt
62,12.3,7.9,8,14.6,16,30,8,15,121,L,3032,Ctenotus_quatt
64,11.6,6.9,7,13.4,17,27,8,13,111,L,3033,Ctenotus_quatt
46,9.9,6.7,4.8,10.9,10,25,6,12,72,L,3038,Ctenotus_quatt
61,12.1,7.3,6.5,14,16,26,8,13,109,L,3039,Ctenotus_quatt
64,11.6,7,7,13.9,16,28,7,14,106,L,3047,Ctenotus_quatt
56,10.5,6.4,5.9,12.7,14,27,8,14,89,L,3048,Ctenotus_quatt
60,12.5,8.2,7.4,13.9,16,28,7,15,111,L,3059,Ctenotus_quatt
61,11.7,7.3,7.4,14,17,28,8,15,116,L,3060,Ctenotus_quatt
52,12,8.1,6.4,16.6,16,30,6,15,130,L,3063,Ctenotus_quatt
64,11.9,7.5,6.9,15.5,15,26,7,14,88,L,3076,Ctenotus_quatt
62,12.3,7.4,7.2,15.5,17,30,8,15,106,L,3079,Ctenotus_quatt
65,13.5,7.3,6.8,14.4,17,30,7,15,127,L,3084,Ctenotus_quatt
48,10.1,5.7,5.5,11.7,16,23,7,16,116,L,3086,Ctenotus_quatt
60,11.6,7.5,6.9,14.9,16,28,8,14,119,L,3087,Ctenotus_quatt
61,11.6,12.3,11.9,13.3,16,28,7,15,13,L,3088,Ctenotus_quatt
47,9.7,6.1,6.3,11.4,14,25,5,14,95,L,3097,Ctenotus_quatt
64,11.5,6.9,6.7,13.2,17,28,7,14,99,L,3098,Ctenotus_quatt
64,11,7.4,6.5,13.1,17,30,7,14,13,L,3101,Ctenotus_quatt
68,12.3,7,6.9,14.5,16,30,9,17,126,L,3103,Ctenotus_quatt
65,12.3,8,6.5,14.6,15,27,8,15,92,L,3104,Ctenotus_quatt
46,10.8,6.7,6,13.2,17,26,6,14,108,L,3108,Ctenotus_quatt
62,10.4,7,6.6,13.3,18,31,8,15,141,L,3110,Ctenotus_quatt
60,11.9,7.4,6.8,13.7,15,27,7,14,147,L,3113,Ctenotus_quatt
59,12.1,7.4,6.7,13.9,16,29,7,15,44,L,3116,Ctenotus_quatt
68,12,7.8,6.7,14.5,16,28,7,15,79,L,3117,Ctenotus_quatt
53,10.2,6.9,5.8,12.3,15,25,6,13,94,L,3119,Ctenotus_quatt
34,7.8,4.5,4,8.6,11,17,5,8,67,L,3157,Ctenotus_quatt
62,11.6,6.9,6.4,14.5,15,28,7,14,91,L,3158,Ctenotus_quatt
49,10,6.3,5.5,12.3,15,26,7,13,103,L,3160,Ctenotus_quatt
74,11.9,7.3,6.9,13.9,16,29,7,14,105,L,3161,Ctenotus_quatt
55,11.6,6.4,6.8,14.2,15,27,7,14,123,L,3163,Ctenotus_quatt
62,12.2,7.8,7.5,16,17,30,7,15,116,L,3166,Ctenotus_quatt
53,10.7,6.8,6.3,12.6,15,25,6,13,89,L,3264,Ctenotus_quatt
38,9,5.1,4,10.3,11,18,5,11,18,L,3282,Ctenotus_quatt
39,8.6,5.1,4.4,11.2,13,19,5,10,83,L,3285,Ctenotus_quatt
40,8,5,4.8,11.5,12,18,6,11,79,L,3294,Ctenotus_quatt
46,9.9,6.3,5.4,11.7,13,25,6,13,91,L,3295,Ctenotus_quatt
50,10.7,6.1,6.5,12,15,26,6,14,69,L,3296,Ctenotus_quatt
63,11.7,7,6.4,14,17,26,6,15,32,L,3297,Ctenotus_quatt
42,7.8,5.2,4.7,9.2,10,16,5,9,79,L,3298,Ctenotus_quatt
62,11.7,7.2,6.8,13.5,16,27,7,15,15,L,3301,Ctenotus_quatt
35,8.2,4.8,3.8,9.4,10,16,5,9,17,L,3326,Ctenotus_quatt
52,10.4,6,5,12,15,26,8,15,107,L,3328,Ctenotus_quatt
43,10.1,6.2,5.8,11.7,14,22,7,13,85,L,3330,Ctenotus_quatt
51,10.6,6.4,6.9,14.2,14,25,7,13,45,L,3335,Ctenotus_quatt
61,11.2,7.3,6.2,12.9,15,25,8,17,116,L,3336,Ctenotus_quatt
51,10,7,4.7,12.6,14,23,7,12,22,L,3366,Ctenotus_quatt
54,10.9,6,5.6,13.7,15,28,6,15,41,L,3369,Ctenotus_quatt
62,11.6,7.2,6.9,12.8,18,29,8,16,114,L,3371,Ctenotus_quatt
50,9.6,5.4,4.5,11.5,14,15,5,12,82,L,3379,Ctenotus_quatt
49,9.9,6,5.6,12.5,15,29,7,13,89,L,3384,Ctenotus_quatt
63.5,11.8,7.1,6.3,13,17,30,7,16,121,L,3387,Ctenotus_quatt
61,11.5,7.1,6.3,0,18,29,7,16,107,L,3398,Ctenotus_quatt
48,9.3,5.7,4.8,10.6,15,25,6,14,98,L,3407,Ctenotus_quatt
61,11.6,7.5,6.6,12.7,13,28,7,14,86,L,3414,Ctenotus_quatt
53,9.7,6.2,5.2,10.7,16,26,7,14,93,L,3447,Ctenotus_quatt
49,9.7,6.2,5.4,10,15,27,7,15,70,L,3464,Ctenotus_quatt
59,11.7,7.6,6.7,13,17,29,7,15,104,L,3466,Ctenotus_quatt
41,8.7,5.4,4.3,10.4,11,18,5,11,11,L,3479,Ctenotus_quatt
54,10.5,6.4,5.8,12.3,16,27,8,15,103,L,3487,Ctenotus_quatt
52,9.8,5.4,4.6,11.8,15,25,5,12,25,L,3537,Ctenotus_quatt
62,12,7.5,6.9,13.2,17,28,8,14,61,L,3539,Ctenotus_quatt
57,10.6,6.5,5.8,12.3,17,28,7,14,126,L,3540,Ctenotus_quatt
47,10.4,7.3,6.5,12.3,16,27,6,13,116,L,3571,Ctenotus_quatt
48,10.1,7.4,5.3,12,15,29,8,15,101,L,3887,Ctenotus_quatt
51,10.6,6.5,5.9,13,16,27,6,15,116,L,3925,Ctenotus_quatt
41,9.1,6.2,5,10.7,13,19,6,10,75,R,826,Ctenotus_quatt
37,8.4,6.7,4.3,11.9,12,18,6,10,8,R,827,Ctenotus_quatt
65,12.7,7.9,6.9,14.6,18,31,8,13,124,R,863,Ctenotus_quatt
37,8.4,4.7,3.9,8.9,11,20,8,10,19,R,881,Ctenotus_quatt
36,0,5.6,5.6,0,11,18,5,10,55,R,888,Ctenotus_quatt
42,9.3,5.5,4.6,10.5,14,22,6,11,71,R,893,Ctenotus_quatt
42,8.9,5.5,4.6,10.7,12,22,6,12,8,R,900,Ctenotus_quatt
62,11,6.8,6.3,12,17,28,7,13,111,R,947,Ctenotus_quatt
38.5,8.6,5.8,4.9,9,13,22,6,12,86,R,956,Ctenotus_quatt
67,12.4,8,7.6,15,17,29,8,14,57,R,1071,Ctenotus_quatt
64,12,7.2,6.8,13.8,16,29,7,14,127,R,1085,Ctenotus_quatt
44,9.3,5.5,4.6,11.4,11,20,5,11,80,R,1088,Ctenotus_quatt
42,9.5,6.3,5.7,12.3,11,24,5,12,94,R,1097,Ctenotus_quatt
64,12.2,7.6,7.3,13.9,16,28,8,15,125,R,1102,Ctenotus_quatt
63,11.6,7.5,6.6,14.6,17,27,9,14,104,R,1114,Ctenotus_quatt
42,9.5,5.5,4.8,11.7,11,20,5,11,37,R,1122,Ctenotus_quatt
62,12.4,8.1,7.3,13.8,16,30,8,15,114,R,1125,Ctenotus_quatt
62,12.5,8,7.3,15.3,17,28,7,15,98,R,1149,Ctenotus_quatt
44,9.2,5.5,5,11.4,11,21,6,12,81,R,1195,Ctenotus_quatt
62,11.8,7.3,7,14.3,17,25,7,13,19,R,1216,Ctenotus_quatt
64,12,7.3,7,12.7,18,17,8,12,131,R,1217,Ctenotus_quatt
42,8.6,5.3,4.4,9.5,13,20,5,12,8,R,1481,Ctenotus_quatt
47,9.8,6.5,5.3,10.5,14,25,6,13,66,R,1483,Ctenotus_quatt
64,11.5,6.4,5.4,13.2,16,27,6,14,0,R,1576,Ctenotus_quatt
40,8.2,5.3,5.2,10.7,11,22,6,11,76,R,1606,Ctenotus_quatt
60,12,7.6,6.7,13.5,18,28,7,15,17,R,1767,Ctenotus_quatt
59,11.9,7.5,6.6,13.7,17,29,8,15,58,R,1787,Ctenotus_quatt
49,9.6,6.4,5.4,10.7,16,24,6,14,0,R,1866,Ctenotus_quatt
62,12,7.6,6.5,12.7,18,28,7,16,62,R,1870,Ctenotus_quatt
51,10,6.3,5.2,11.2,16,27,7,15,108,R,1888,Ctenotus_quatt
53,10.1,6.1,5,11.6,15,25,5,13,105,R,1891,Ctenotus_quatt
55,11,7.3,6.2,11.9,16,28,7,13,66,R,1894,Ctenotus_quatt
82,10.4,6.4,5.6,11.4,15,26,8,13,49,R,1896,Ctenotus_quatt
51,10.4,6.2,5,12.3,15,25,6,12,58,R,1897,Ctenotus_quatt
44,10.3,6.5,5.5,12,15,24,6,14,19,R,1909,Ctenotus_quatt
44,9.8,6.4,4.8,11.3,15,27,6,14,100,R,1922,Ctenotus_quatt
50,10.5,6.4,5.5,11.7,15,26,7,15,116,R,1957,Ctenotus_quatt
35,0,0,0,0,13,23,6,12,50,R,1969,Ctenotus_quatt
51,10,6,4.8,10.3,15,25,6,14,110,R,2003,Ctenotus_quatt
62,12,8.7,6.8,14.6,16,30,7,14,136,R,2206,Ctenotus_quatt
33,7.9,4.8,3.7,10,11,15,5,9,14,R,2247,Ctenotus_quatt
34,7.9,4,3.6,9,10,16,5,10,12,R,2271,Ctenotus_quatt
31,6.7,4.4,3.5,7.5,10,15,5,10,47,R,2286,Ctenotus_quatt
63,12,6.9,6.5,13.7,17,30,8,15,133,R,2290,Ctenotus_quatt
56,10.7,6.2,5.6,12.3,16,25,7,13,109,R,2291,Ctenotus_quatt
50,10.8,6.8,6,12.3,18,27,7,14,111,R,2304,Ctenotus_quatt
62,11,6.5,5.6,12.7,18,27,7,14,31,R,2315,Ctenotus_quatt
50,10.7,6.8,5.5,12.4,15,25,7,13,112,R,2464,Ctenotus_quatt
49.5,9.7,5.8,5,10.3,16,25,6,15,113,R,2468,Ctenotus_quatt
50,10.4,6.2,5.4,12,16,27,8,19,37,R,2491,Ctenotus_quatt
48.5,9.5,5.8,4.8,10.5,14,25,7,13,102,R,2520,Ctenotus_quatt
31,6.9,4.5,3.6,9,10,16,4,10,57,R,2533,Ctenotus_quatt
52,10.2,6.2,5.3,11.4,16,26,7,15,104,R,2560,Ctenotus_quatt
65,11.3,7.1,5.7,12,18,28,7,15,127,R,2565,Ctenotus_quatt
54,10.8,6.7,5.6,12.3,16,27,7,15,125,R,2578,Ctenotus_quatt
29,7.5,4.4,3.4,8.6,10,15,5,8,57,R,2584,Ctenotus_quatt
54,11.5,6.9,6,12.9,14,23,7,14,28,R,2585,Ctenotus_quatt
49,11,6.4,5.4,12.3,15,27,8,14,112,R,2643,Ctenotus_quatt
65,11.6,7.3,6.8,13.6,17,28,7,13,71,R,2659,Ctenotus_quatt
93,12,7.6,6.9,13.9,18,27,7,15,68,R,2668,Ctenotus_quatt
50,10.8,6.2,5.1,11.5,14,26,6,15,111,R,2690,Ctenotus_quatt
52,9.9,6.6,5.9,12,16,26,7,14,21,R,2692,Ctenotus_quatt
61,11.6,7.2,6.6,13.7,17,26,8,15,91,R,2694,Ctenotus_quatt
33,7.6,4.9,4.3,9,9,17,4,9,68,R,2707,Ctenotus_quatt
64,11.3,7.1,6.3,13.6,15,27,7,14,113,R,2711,Ctenotus_quatt
62,12.3,7.5,6.7,14,17,28,7,14,37,R,2725,Ctenotus_quatt
54,10.8,6.2,5.6,11.9,16,27,7,15,128,R,2726,Ctenotus_quatt
55,10.2,6.5,5.8,11.7,13,24,7,15,123,R,2729,Ctenotus_quatt
56,11.2,6.7,6.5,12.9,16,26,8,13,90,R,2748,Ctenotus_quatt
33,7.7,4.4,3.9,8.5,10,16,5,9,17,R,2752,Ctenotus_quatt
33,8.7,5,4.1,9.3,11,19,5,10,65,R,2753,Ctenotus_quatt
48,10.2,6.1,4.9,11.4,13,24,6,14,95,R,2758,Ctenotus_quatt
53,10.8,6.4,5.6,13.4,13,24,6,13,118,R,2762,Ctenotus_quatt
55,11.4,7.3,6.4,13.3,15,28,7,15,27,R,2763,Ctenotus_quatt
47,10.3,4.9,5.3,12.5,15,25,6,13,102,R,2784,Ctenotus_quatt
51,10.3,5.7,6,12,15,25,7,12,36,R,2786,Ctenotus_quatt
49,10.6,5.6,5.2,12,14,25,7,15,93,R,2797,Ctenotus_quatt
34,8.2,5.2,4.1,9.7,11,16,5,9,73,R,2803,Ctenotus_quatt
60,11.9,7.5,6.8,13.8,17,29,9,15,114,R,3197,Ctenotus_quatt
49,10,6.1,5,11.7,14,25,6,13,89,R,3204,Ctenotus_quatt
56,12.3,7.9,6.8,15.5,16,29,7,14,136,R,3220,Ctenotus_quatt
53,11,6.4,5.8,12.9,16,27,7,14,107,R,3245,Ctenotus_quatt
57,11.5,7.5,6.4,13.7,17,31,8,15,126,R,3619,Ctenotus_quatt
115,10.5,6,5.8,11.7,17,27,9,15,52,R,3620,Ctenotus_quatt
53.5,10.5,6.4,6,11.7,17,27,7,15,121,R,3628,Ctenotus_quatt
51,10.5,6.5,5.5,12.3,15,25,7,13,49,R,3640,Ctenotus_quatt
56,10.8,7,5.7,12.5,15,27,6,14,115,R,3648,Ctenotus_quatt
58,12.6,7.6,7,13.9,19,28,8,13,118,R,3650,Ctenotus_quatt
61,11.9,7.3,5.5,13.4,17,22,7,13,111,R,3653,Ctenotus_quatt
59,11.2,6.8,6.1,12.3,16,28,6,13,114,R,3685,Ctenotus_quatt
56,10.6,6.4,5.4,11.4,16,30,7,15,125,R,3693,Ctenotus_quatt
63,11.8,6.5,6.4,13.1,17,29,7,15,109,R,3699,Ctenotus_quatt
53,10.3,6.4,5.4,11.7,16,28,6,15,115,R,3706,Ctenotus_quatt
117,11.4,6.9,6.7,13.4,17,29,7,16,51,R,3748,Ctenotus_quatt
66,12.8,7.9,7,15,19,30,8,17,93,R,3831,Ctenotus_quatt
52,11,6.8,5.4,12.2,17,30,7,17,112,R,3870,Ctenotus_quatt
48,9.8,6.3,5,10.2,15,26,7,15,82,R,3871,Ctenotus_quatt
38,7.9,4.8,4,9.4,12,21,5,12,80,R,3879,Ctenotus_quatt
53,11.5,7,6.9,12.6,17,29,7,15,91,R,3885,Ctenotus_quatt
58,11.7,7.3,6.9,13.7,15,30,7,14,110,R,3946,Ctenotus_quatt
57,11.5,6.6,5.5,13,15,27,6,15,121,R,3965,Ctenotus_quatt
53,11.4,7,6.3,12,17,22,7,14,58,R,3970,Ctenotus_quatt
55.5,10.8,7,6.1,11.4,18,29,7,16,125,R,4020,Ctenotus_quatt
65,12,7.4,6.3,13,18,28,7,16,32,R,4034,Ctenotus_quatt
58,10.9,6.8,5.9,12.7,16,27,7,13,119,R,4037,Ctenotus_quatt
65,12,7.9,7,13.6,16,29,9,14,18,R,4039,Ctenotus_quatt
53,10.7,6.4,5.4,12.5,15,24,7,13,115,R,4040,Ctenotus_quatt
53,11,6.9,5.6,13,14,25,6,14,121,R,4041,Ctenotus_quatt
57,11.9,7.5,7.3,13.2,19,30,8,15,90,Z,791,Ctenotus_quatt
45,9,5.2,3.7,9.6,13,24,6,12,0,A,10015,Ctenotus_schomburgkii
0,0,0,0,0,12,22,5,12,0,A,10016,Ctenotus_schomburgkii
35,9.1,4.5,3.2,9.1,13,20,6,11,0,A,10086,Ctenotus_schomburgkii
41,9.5,4.7,3.6,10.5,13,20,6,10,0,A,10087,Ctenotus_schomburgkii
39,8.8,4.7,3.5,9.8,13,23,5,12,0,A,10089,Ctenotus_schomburgkii
42,9.4,5.2,4,9.7,13,23,6,12,0,A,10090,Ctenotus_schomburgkii
36,8.6,4.8,3.6,9,13,21,6,12,0,M,10174,Ctenotus_schomburgkii
36,8.1,4.2,3,8.7,12,20,5,10,0,M,10195,Ctenotus_schomburgkii
42,9,5,3.6,10.5,14,23,6,13,0,A,10226,Ctenotus_schomburgkii
42,9.1,4.6,3.2,9.7,12,23,5,11,0,A,10230,Ctenotus_schomburgkii
37,8.8,4.9,0,9.5,13,23,6,11,0,A,10232,Ctenotus_schomburgkii
48,9.4,4.9,3.8,10.6,13,21,6,12,0,A,10239,Ctenotus_schomburgkii
43,8.7,5.1,3.7,9.8,13,22,7,12,0,A,10250,Ctenotus_schomburgkii
44,9.2,5,3.2,10,14,22,6,12,0,A,10253,Ctenotus_schomburgkii
0,5.9,3.5,2.7,6.4,9,0,5,0,0,A,10260,Ctenotus_schomburgkii
50,9.4,5.5,4,10.8,14,23,6,12,0,A,10261,Ctenotus_schomburgkii
44,9.4,5.8,4.4,10.2,13,25,6,12,0,A,10265,Ctenotus_schomburgkii
0,6.9,3.7,2.8,7.6,9,18,5,9,0, ,10290,Ctenotus_schomburgkii
41,8.6,4.2,3.6,9.6,12,24,5,11,0, ,10291,Ctenotus_schomburgkii
41,9.2,4.6,3.9,10,13,23,6,11,0,G,10345,Ctenotus_schomburgkii
41,9.4,4.7,3.6,10.1,12,23,6,11,0,A,10496,Ctenotus_schomburgkii
41,8.7,4.8,3.6,10,14,22,6,12,0,A,10521,Ctenotus_schomburgkii
26,6.6,3.2,2.7,7.2,10,14,4,8,0,A,10555,Ctenotus_schomburgkii
46,9.9,5.2,0,10.3,14,23,6,12,0,A,10558,Ctenotus_schomburgkii
43,9.1,5.5,0,9.5,13,21,6,12,0,A,10582,Ctenotus_schomburgkii
28,7.2,3.5,2.4,7.9,11,16,5,9,0,A,10586,Ctenotus_schomburgkii
46,9,5,3.6,10.1,13,22,7,11,0,A,10617,Ctenotus_schomburgkii
40,9.4,4.9,3.6,10,13,22,6,11,0,L,10663,Ctenotus_schomburgkii
46,9.4,5,4.1,9.8,13,23,6,11,0,A,10923,Ctenotus_schomburgkii
37,8,4.6,3.4,8.9,12,20,5,11,0,A,10942,Ctenotus_schomburgkii
43,8.9,4.9,3.3,10.4,14,23,7,12,0,A,10943,Ctenotus_schomburgkii
46,9.5,5.8,4.5,9.7,14,24,6,12,0,A,10944,Ctenotus_schomburgkii
38,8.8,4.5,3.2,9.6,12,21,5,11,0,A,10961,Ctenotus_schomburgkii
44,9.5,5.2,3.7,10.1,13,21,6,12,0,A,10964,Ctenotus_schomburgkii
32,8.3,4.1,3,9.1,12,20,5,11,0,G,11130,Ctenotus_schomburgkii
31,7.5,4,2.7,7.9,11,17,5,9,0,G,11131,Ctenotus_schomburgkii
26,6.6,3.8,2.7,6.4,9,13,4,10,0,A,11157,Ctenotus_schomburgkii
31,6.9,3.6,3,7.3,10,17,4,9,0,A,11158,Ctenotus_schomburgkii
40,8.9,5,3.6,9.3,13,23,6,12,0,A,11159,Ctenotus_schomburgkii
27,6.7,3.6,2.3,7.6,9,15,4,9,0,A,11173,Ctenotus_schomburgkii
30,7,3.3,2.7,7.5,11,17,5,9,0,L,11193,Ctenotus_schomburgkii
38,8.2,4.3,3.2,9.1,13,21,6,11,0,Y,11239,Ctenotus_schomburgkii
25,6.5,3,2.3,6.4,9,15,4,7,0,E,11314,Ctenotus_schomburgkii
34,8.4,4.3,2.8,9.3,12,19,6,10,0,E,11388,Ctenotus_schomburgkii
30,7.3,3.5,2.6,7.3,10,16,5,9,0, ,11644,Ctenotus_schomburgkii
32,7.6,4.2,3.3,7.8,11,17,5,9,0, ,11647,Ctenotus_schomburgkii
48,9.5,5,3.7,10.5,14,23,6,12,0,M,11728,Ctenotus_schomburgkii
44,8.8,5,3.6,9.6,13,23,5,11,0,M,11826,Ctenotus_schomburgkii
41,9.1,5.2,3.7,9.7,13,22,6,11,0,L,12015,Ctenotus_schomburgkii
43,9.2,5.2,3.6,10,13,23,6,10,0,L,12049,Ctenotus_schomburgkii
33,7.3,4.1,3,0,10,18,5,9,0,L,12056,Ctenotus_schomburgkii
44,9,5.6,3.6,9.9,14,22,6,11,0,E,12104,Ctenotus_schomburgkii
37,8.7,4.5,3.4,9,13,20,6,11,0,E,12144,Ctenotus_schomburgkii
33,7.8,3.8,2.7,8.8,12,18,5,10,0,E,12154,Ctenotus_schomburgkii
41,8.9,5.3,3.9,9.6,13,19,6,11,0,E,12161,Ctenotus_schomburgkii
32,7.6,3.7,2.7,8.2,11,16,5,9,0,E,12192,Ctenotus_schomburgkii
40,9,5,3.7,10.2,13,22,6,11,0,E,12210,Ctenotus_schomburgkii
37,9,4.2,3.2,9,13,20,6,11,0,G,12352,Ctenotus_schomburgkii
37,8,4.6,3.5,8.6,11,19,6,10,0,A,12491,Ctenotus_schomburgkii
34,7.8,4.1,3.2,7.8,12,20,5,11,0,A,12494,Ctenotus_schomburgkii
38,7.5,4.9,3.6,7.4,12,20,6,11,0,A,12508,Ctenotus_schomburgkii
45,9,5,3.6,10.2,13,23,6,12,0,A,12527,Ctenotus_schomburgkii
51,10.3,6,4.5,10.2,13,22,6,11,0,A,12544,Ctenotus_schomburgkii
33,8.2,4.2,3.2,8.6,12,19,5,10,0,A,12545,Ctenotus_schomburgkii
42,8.5,4.4,3.3,9.7,13,24,6,12,0,A,12546,Ctenotus_schomburgkii
42,9.9,4.9,3.7,9.7,14,24,6,12,0,A,12575,Ctenotus_schomburgkii
38,8.3,4.6,3.5,9.1,13,20,6,11,0,M,12596,Ctenotus_schomburgkii
35,8,4.3,3.2,8.7,11,21,6,10,0,A,12780,Ctenotus_schomburgkii
45,9.8,5,3.7,10.1,14,0,6,0,0,A,12781,Ctenotus_schomburgkii
44,9.5,5.6,4,10.7,14,25,6,12,0,A,12783,Ctenotus_schomburgkii
35,7.9,4.2,3.2,9,12,21,5,11,0,A,12784,Ctenotus_schomburgkii
37,8.2,4.5,3.3,9,12,21,6,11,0,A,12816,Ctenotus_schomburgkii
37,7.9,4.2,3.4,8.6,12,22,5,11,0,A,12817,Ctenotus_schomburgkii
41,8.9,4.9,3.2,10.1,14,24,6,12,0,E,12873,Ctenotus_schomburgkii
37,8.5,4.6,3.6,9.1,13,21,6,12,0,G,13048,Ctenotus_schomburgkii
37,8.3,4.6,3.3,9.8,12,20,6,11,0,G,13076,Ctenotus_schomburgkii
37,9.5,4.5,3.2,10.1,14,23,6,0,0,Y,13106,Ctenotus_schomburgkii
41,9.4,5.4,4.2,10.2,14,25,6,12,0,Y,13177,Ctenotus_schomburgkii
39,8.4,4.2,3.3,9.6,12,21,6,11,0,A,13240,Ctenotus_schomburgkii
49,9.1,5.1,4,10.6,15,25,6,12,0,A,13241,Ctenotus_schomburgkii
