Number,Genus_species,Sex,SVL,Wt,Tail,RTL,LTL,TotTL,TotTVoL
,Diplodactylus_strophurus,MALE,67,5.5,43,5,3.5,,8.5
,Diplodactylus_strophurus,MALE,68,5.6,,4,3.5,,7.5
59.45,Diplodactylus_strophurus,MALE,50,2.3,34,4.5,4.2,59.45,8.7
58.64,Diplodactylus_strophurus,MALE,55,2.7,35,3,4,58.64,7
226.2,Diplodactylus_strophurus,MALE,59,4.2,38,6,6,226.2,12
314.16,Diplodactylus_strophurus,MALE,66,5.3,45,6,6,314.16,12
100.53,Diplodactylus_strophurus,MALE,53,2.5,35,4,3,100.53,7
,Diporiphora_winneckei,MALE,33,1,70,,,,
,Diporiphora_winneckei,MALE,32,1,69,0.05,1.5,,1.55
,Diporiphora_winneckei,MALE,30,0.5,62,,,,
,Diporiphora_winneckei,MALE,54,3.5,158,7,6.5,,13.5
,Diporiphora_winneckei,MALE,32,1,69,1.5,1.5,,3
,Diporiphora_winneckei,MALE,49,3,133,6,7,,13
,Diporiphora_winneckei,MALE,44,1.7,107,6,6.5,,12.5
,Diporiphora_winneckei,MALE,50,2.5,139,7,5.5,,12.5
,Diporiphora_winneckei,MALE,49,3,141,6.5,6.5,,13
,Diporiphora_winneckei,MALE,45,1.7,126,5,5.5,,10.5
,Diporiphora_winneckei,MALE,37,1,87,3,3,,6
,Diporiphora_winneckei,MALE,50,3.2,144,6.5,6.5,,13
,Diporiphora_winneckei,MALE,54,4,150,7,6.5,,13.5
,Diporiphora_winneckei,MALE,34,1,78,2.5,2,,4.5
,Diporiphora_winneckei,MALE,36,1,83,4.5,3.5,,8
,Diporiphora_winneckei,MALE,49,2.5,132,6,7.5,,13.5
,Diporiphora_winneckei,MALE,53,3.2,136,7,7,,14
,Diporiphora_winneckei,MALE,51,3,128,6,6.5,,12.5
,Diporiphora_winneckei,MALE,43,2,101,5.5,5,,10.5
,Diporiphora_winneckei,MALE,52,4.2,133,7,6.5,,13.5
,Diporiphora_winneckei,MALE,44,2.5,112,5.5,7,,12.5
,Diporiphora_winneckei,MALE,42,2.2,101,5,5.5,,10.5
,Diporiphora_winneckei,MALE,47,3.2,141,7.5,7.5,,15
,Diporiphora_winneckei,MALE,49,3.2,126,6,6,,12
,Egernia_depressa,MALE,61,6.5,25,2.5,,,
,Egernia_depressa,MALE,61,6.5,24,2,,,
,Egernia_depressa,MALE,102,40,42,5,,,
,Egernia_depressa,MALE,63,4.5,23,1,,,
,Egernia_depressa,MALE,93,33.5,35,4,,,
,Egernia_depressa,MALE,57,3.5,21,1,,,
,Egernia_depressa,MALE,70,9.5,23,2.5,,,
,Egernia_depressa,MALE,98,38.5,35,5,4,,9
,Egernia_depressa,MALE,65,7.5,22,3,2,,5
,Egernia_depressa,MALE,94,25.5,37,5,5,,10
,Egernia_depressa,MALE,101,30.3,42,4,3,,7
,Egernia_depressa,MALE,100,31,41,6,6,,12
,Egernia_depressa,MALE,89,19.7,34,2,1.5,,3.5
,Egernia_depressa,MALE,100,30,37,6,6,,12
,Egernia_depressa,MALE,95,26.2,34,4,3,,7
,Egernia_depressa,MALE,98,30.5,39,7,7,,14
,Egernia_depressa,MALE,96,27.8,40,5,4,,9
,Egernia_depressa,MALE,62,5.3,24,1,1,,2
,Egernia_depressa,MALE,60,5,23,2,1.5,,3.5
,Egernia_formosa,MALE,96,17,,5,4,,9
,Egernia_formosa,MALE,99,18.3,,4,3,,7
,Egernia_formosa,MALE,95,19,,4,4,,8
,Egernia_formosa,MALE,48,1.7,,0.5,0.5,,1
130.06,Egernia_inornata,MALE,,,,5,4.5,130.06,9.5
187.84,Egernia_inornata,MALE,70,,80,6,4.5,187.84,10.5
5.39,Egernia_inornata,MALE,56,,73,2,1.5,5.39,3.5
187.84,Egernia_inornata,MALE,72,8,,6,4.5,187.84,10.5
52.2,Egernia_inornata,MALE,63,5.5,,4,3,52.2,7
130.06,Egernia_inornata,MALE,79,11.5,92,5,4.5,130.06,9.5
5.39,Egernia_inornata,MALE,87,14.7,,2,1.5,5.39,3.5
12.12,Egernia_inornata,MALE,53,3.5,72,2.5,2,12.12,4.5
235.16,Egernia_inornata,MALE,86,16,,5.5,6,235.16,11.5
61.85,Egernia_inornata,MALE,75,12.2,,4,3.5,61.85,7.5
0.64,Egernia_inornata,MALE,40,1,,1,1,0.64,2
177.39,Egernia_inornata,MALE,79,12.5,,5,5.5,177.39,10.5
12.12,Egernia_inornata,MALE,58,3.2,73,2.5,2,12.12,4.5
177.39,Egernia_inornata,MALE,71,9.5,92,5.5,5,177.39,10.5
177.39,Egernia_inornata,MALE,74,10,,5.5,5,177.39,10.5
0.03,Egernia_inornata,MALE,36,1,47,0.5,0.5,0.03,1
39.45,Egernia_inornata,MALE,64,5.5,78,3.5,3,39.45,6.5
52.2,Egernia_inornata,MALE,61,4,78,4,3,52.2,7
18.84,Egernia_inornata,MALE,55,4.5,78,3,2,18.84,5
52.2,Egernia_inornata,MALE,58,6.5,77,4,3,52.2,7
203.22,Egernia_inornata,MALE,69,9,,5.5,5.5,203.22,11
16.36,Egernia_inornata,MALE,57,4.2,,2.5,2.5,16.36,5
12.12,Egernia_inornata,MALE,62,6,83,2.5,2,12.12,4.5
108.57,Egernia_inornata,MALE,66,6,,4.5,4.5,108.57,9
113.07,Egernia_inornata,MALE,69,8,,5,4,113.07,9
348.61,Egernia_inornata,MALE,80,14.7,,7,6,348.61,13
113.07,Egernia_inornata,MALE,67,6.2,91,5,4,113.07,9
91.58,Egernia_inornata,MALE,70,9.5,,4.5,4,91.58,8.5
177.39,Egernia_inornata,MALE,69,8.7,91,5.5,5,177.39,10.5
69.19,Egernia_inornata,MALE,67,8,,4.5,3,69.19,7.5
113.07,Egernia_inornata,MALE,71,7.7,94,5,4,113.07,9
437.23,Egernia_inornata,MALE,81,14,,7.5,6.5,437.23,14
5.39,Egernia_inornata,MALE,59,5,,2,1.5,5.39,3.5
791.86,Egernia_inornata,MALE,83,15,,9,8,791.86,17
,Egernia_inornata,MALE,44,2,52,,,,
12.12,Egernia_inornata,MALE,56,4,76,2.5,2,12.12,4.5
18.84,Egernia_inornata,MALE,62,5.5,82,3,2,18.84,5
368.24,Egernia_inornata,MALE,77,13.2,,7.5,5.5,368.24,13
52.2,Egernia_inornata,MALE,64,5.7,,4,3,52.2,7
911.76,Egernia_inornata,MALE,79,9.5,,10,7.5,911.76,17.5
0.64,Egernia_inornata,MALE,41,2,55,1,1,0.64,2
91.58,Egernia_inornata,MALE,77,12.5,,4.5,4,91.58,8.5
235.16,Egernia_inornata,MALE,83,14,98,6,5.5,235.16,11.5
216.51,Egernia_inornata,MALE,74,8.8,102,1.5,7,216.51,8.5
91.58,Egernia_inornata,MALE,66.5,6.2,,4.5,4,91.58,8.5
23.08,Egernia_inornata,MALE,55,5,77,3,2.5,23.08,5.5
,Egernia_inornata,MALE,71,10,,,,,
1112.6,Egernia_inornata,MALE,84,16.1,,10,9,1112.6,19
267.1,Egernia_inornata,MALE,76,11.6,,6,6,267.1,12
267.1,Egernia_inornata,MALE,80,14.9,91,6,6,267.1,12
151.55,Egernia_inornata,MALE,76,10.4,,5,5,151.55,10
267.1,Egernia_inornata,MALE,82,15.3,,6,6,267.1,12
151.55,Egernia_inornata,MALE,78,13.4,100,5,5,151.55,10
267.1,Egernia_inornata,MALE,77,11.7,,6,6,267.1,12
539.44,Egernia_inornata,MALE,83,12.1,,8,7,539.44,15
18.84,Egernia_inornata,MALE,55,3.8,74,3,2,18.84,5
29.8,Egernia_inornata,MALE,61,5,,3,3,29.8,6
539.44,Egernia_inornata,MALE,85,13.9,,8,7,539.44,15
648.76,Egernia_inornata,MALE,87,17,,8,8,648.76,16
267.1,Egernia_inornata,MALE,81,11.8,,6,6,267.1,12
341.2,Egernia_inornata,MALE,81,13.3,94,6.5,6.5,341.2,13
348.61,Egernia_inornata,MALE,78,13.5,,7,6,348.61,13
400.18,Egernia_inornata,MALE,78,13.8,,7.5,6,400.18,13.5
151.55,Egernia_inornata,MALE,74,9.7,95,5,5,151.55,10
42.06,Egernia_inornata,MALE,72,8.7,,3.5,3.8,42.06,7.3
65.45,Egernia_inornata,MALE,78,10.5,,5,5,65.45,10
44.77,Egernia_inornata,MALE,81,13.1,103,4.5,5,44.77,9.5
2.84,Egernia_inornata,MALE,57,4.6,67,1.2,1.2,2.84,2.4
196.74,Egernia_inornata,MALE,78,12.9,,6.8,6.5,196.74,13.3
526.52,Egernia_inornata,MALE,82,13.5,104,8.1,5,526.52,13.1
73.72,Egernia_inornata,MALE,74,9.4,99,4.3,4.5,73.72,8.8
6.52,Egernia_inornata,MALE,63,6.3,82,1.6,1.5,6.52,3.1
158.62,Egernia_inornata,MALE,72,10,100,5.3,5.3,158.62,10.6
45.32,Egernia_inornata,MALE,67,6,84,3.9,3.2,45.32,7.1
549.71,Egernia_inornata,MALE,78,11.5,,6.8,6.2,549.71,13
274.04,Egernia_inornata,MALE,79,13,102,6,5.6,274.04,11.6
631.93,Egernia_inornata,MALE,80,13.4,94,7.3,7.6,631.93,14.9
178.29,Egernia_inornata,MALE,80,11.5,,5.7,5.5,178.29,11.2
388.72,Egernia_inornata,MALE,76,11.4,92,5.8,5.8,388.72,11.6
22.49,Egernia_inornata,MALE,61,6.9,80,3.7,3.2,22.49,6.9
43.46,Egernia_inornata,MALE,64,7.9,87,3.5,3,43.46,6.5
11.2,Egernia_inornata,MALE,57,4.6,,2.2,1.8,11.2,4
248.34,Egernia_inornata,MALE,77,11.2,100,5.5,5,248.34,10.5
154.01,Egernia_inornata,MALE,72,9.2,92,5,5.8,154.01,10.8
15.67,Egernia_inornata,MALE,63,6.1,78,2.2,2.2,15.67,4.4
290.87,Egernia_inornata,MALE,77,11.6,,6.2,6,290.87,12.2
308.82,Egernia_inornata,MALE,81,13.4,,5.2,5.8,308.82,11
311.54,Egernia_inornata,MALE,79,13.4,,7,7,311.54,14
138.54,Egernia_inornata,MALE,74,10.8,94,5.2,5,138.54,10.2
321.1,Egernia_inornata,MALE,77,13.1,,7.5,6,321.1,13.5
41.28,Egernia_inornata,MALE,66,7.5,85,4.2,3.5,41.28,7.7
19.88,Egernia_inornata,MALE,62,5.6,84,2.6,2.6,19.88,5.2
226.2,Egernia_inornata,MALE,78,12.3,,6,6,226.2,12
89.64,Egernia_inornata,MALE,81,14.2,,5.5,5.2,89.64,10.7
58.34,Egernia_inornata,MALE,67,7.5,87,4.5,3.1,58.34,7.6
243.74,Egernia_inornata,MALE,82,13.5,106,4.5,5,243.74,9.5
157.08,Egernia_inornata,MALE,82,13.2,,6,6,157.08,12
36.91,Egernia_inornata,MALE,65,7.4,,2.5,3,36.91,5.5
34.1,Egernia_inornata,MALE,78,11.2,96,4.5,5,34.1,9.5
11.57,Egernia_inornata,MALE,60,5.9,86,2.5,2.1,11.57,4.6
22.8,Egernia_inornata,MALE,75,10.9,,4.2,4,22.8,8.2
77.49,Egernia_inornata,MALE,79,13.2,,5,5.2,77.49,10.2
64.4,Egernia_inornata,MALE,68,8.2,88,3,3,64.4,6
18.4,Egernia_inornata,MALE,51,3.2,,2.5,2.3,18.4,4.8
57.07,Egernia_inornata,MALE,80,12.2,93,4,5,57.07,9
122.68,Egernia_inornata,MALE,78,12.8,104,5.5,5,122.68,10.5
210.59,Egernia_inornata,MALE,52,3.7,69,3.8,6,210.59,9.8
36.66,Egernia_inornata,MALE,79,13.7,101,5,3.7,36.66,8.7
96.5,Egernia_inornata,MALE,82,13,,5.5,5.2,96.5,10.7
41.37,Egernia_inornata,MALE,78,12.4,,4.5,4.2,41.37,8.7
69.87,Egernia_inornata,MALE,74,10,95,4,3.5,69.87,7.5
307.67,Egernia_inornata,MALE,79,10.9,,5.2,5.2,307.67,10.4
338.66,Egernia_inornata,MALE,75,9.6,92,7.2,6,338.66,13.2
402.12,Egernia_inornata,MALE,75,10,,6,6,402.12,12
375.25,Egernia_inornata,MALE,80,13,,6.5,5.8,375.25,12.3
63.47,Egernia_inornata,MALE,70,8.6,,4.3,3.5,63.47,7.8
126.27,Egernia_inornata,MALE,80,12.5,96,5,6,126.27,11
,Egernia_inornata,MALE,72,8.2,,,,,
,Egernia_inornata,MALE,77,11,94,,,,
190.6,Egernia_inornata,MALE,72,9.7,,5.5,5.2,190.6,10.7
13.27,Egernia_inornata,MALE,59,4.9,80,2.2,2.2,13.27,4.4
186.59,Egernia_inornata,MALE,71,8.6,92,4.6,4.1,186.59,8.7
300.97,Egernia_inornata,MALE,78,10.3,97,5.2,5,300.97,10.2
59.41,Egernia_inornata,MALE,66,6.4,87,4.5,3.2,59.41,7.7
7.33,Egernia_inornata,MALE,61,4.9,,1.7,1.8,7.33,3.5
381.87,Egernia_inornata,MALE,73,9.3,96,6.1,6.1,381.87,12.2
256.56,Egernia_inornata,MALE,77,12,100,4.5,5.5,256.56,10
41.22,Egernia_inornata,MALE,64,6,,3,3,41.22,6
128.18,Egernia_inornata,MALE,80,14,,5.2,5,128.18,10.2
117.5,Egernia_inornata,MALE,66,7,89,5.4,4,117.5,9.4
18.36,Egernia_inornata,MALE,72,8,91,3.4,3.2,18.36,6.6
64.68,Egernia_inornata,MALE,85,12.5,102,4.4,4.1,64.68,8.5
65.45,Egernia_inornata,MALE,79,14.5,,5,,65.45,
616.68,Egernia_inornata,MALE,77,12.5,,7.3,6.9,616.68,14.2
25.45,Egernia_inornata,MALE,62,6.5,86,3.2,3,25.45,6.2
501.65,Egernia_inornata,MALE,77,12.8,,7.3,5.4,501.65,12.7
445.95,Egernia_inornata,MALE,78,14,,5.3,6.6,445.95,11.9
96.64,Egernia_inornata,MALE,66,6.5,84,3.5,3.3,96.64,6.8
219.97,Egernia_inornata,MALE,81,13,,6,7,219.97,13
472.9,Egernia_inornata,MALE,81,15,,5.7,7.1,472.9,12.8
631.72,Egernia_inornata,MALE,82,14,,6.8,6.5,631.72,13.3
95.93,Egernia_inornata,MALE,76,11.3,102,5.5,4.5,95.93,10
593.76,Egernia_inornata,MALE,76,13.3,,8,6,593.76,14
32.99,Egernia_inornata,MALE,70,7.8,88,4,3,32.99,7
77.75,Egernia_inornata,MALE,67,8,,3.7,3.5,77.75,7.2
642.2,Egernia_inornata,MALE,79,15,,7,6.5,642.2,13.5
489.04,Egernia_inornata,MALE,78,14.8,,7,6,489.04,13
575.65,Egernia_inornata,MALE,81,16,,8.2,6.8,575.65,15
87.91,Egernia_inornata,MALE,71,8.5,,4.5,3.2,87.91,7.7
115.39,Egernia_inornata,MALE,74,11.7,98,6.5,5.5,115.39,12
90.55,Egernia_inornata,MALE,74,10.8,99,4.8,5,90.55,9.8
428.78,Egernia_inornata,MALE,82,13.8,103,7.2,6.2,428.78,13.4
280.07,Egernia_inornata,MALE,76,11.8,,5.3,4.3,280.07,9.6
267.04,Egernia_inornata,MALE,80,13.4,92,6,6,267.04,12
44.84,Egernia_inornata,MALE,66,8.7,,4,3.2,44.84,7.2
192.32,Egernia_inornata,MALE,70,9.4,83,5,4.3,192.32,9.3
572.44,Egernia_inornata,MALE,79,14.7,,6.8,7,572.44,13.8
44.27,Egernia_inornata,MALE,74,10.5,94,4,4.2,44.27,8.2
179.59,Egernia_inornata,MALE,74,11.4,97,5.5,5.8,179.59,11.3
90.48,Egernia_inornata,MALE,69,9.8,89,5.3,5.5,90.48,10.8
83.12,Egernia_inornata,MALE,69,8.4,91,4.5,4.1,83.12,8.6
8.38,Egernia_inornata,MALE,65,6.8,89,2,2,8.38,4
111,Egernia_inornata,MALE,69,8.5,89,5,5,111,10
83.67,Egernia_inornata,MALE,78,11,100,6.5,6.2,83.67,12.7
48.5,Egernia_inornata,MALE,79,12,,4.8,4.5,48.5,9.3
36.91,Egernia_inornata,MALE,61,5.7,,3,2.5,36.91,5.5
8.38,Egernia_inornata,MALE,58,4.6,,2,2,8.38,4
10.47,Egernia_inornata,MALE,60,5.6,,3,2,10.47,5
619.94,Egernia_inornata,MALE,76,11.7,,8,6,619.94,14
,Egernia_inornata,MALE,77,12.8,,,,,
,Egernia_inornata,MALE,74,9.6,,,,,
435.64,Egernia_inornata,MALE,66,8.4,,7,6,435.64,13
207.35,Egernia_inornata,MALE,72,11.6,97,6,5,207.35,11
,Egernia_kintorei,MALE,152,76,,7,6,,13
,Egernia_striata,MALE,,,,2.5,2.5,,5
,Egernia_striata,MALE,90,,117,3.5,3.5,,7
,Egernia_striata,MALE,45,,50,1,1,,2
,Egernia_striata,MALE,46,,58,0.5,0.5,,1
,Egernia_striata,MALE,44,,49,1,1,,2
,Egernia_striata,MALE,105,,,5.5,6,,11.5
,Egernia_striata,MALE,102,,123,5,4.5,,9.5
,Egernia_striata,MALE,47,,53,1.5,1,,2.5
,Egernia_striata,MALE,98,,126,6,4.5,,10.5
,Egernia_striata,MALE,44,,49,1,1,,2
,Egernia_striata,MALE,46,,52,1,1,,2
,Egernia_striata,MALE,101,,115,6,5,,11
,Egernia_striata,MALE,90,,109,4.5,4,,8.5
,Egernia_striata,MALE,44,,48,1,1,,2
,Egernia_striata,MALE,110,,,5.5,5.5,,11
,Egernia_striata,MALE,110,,,6.5,5.5,,12
,Egernia_striata,MALE,93,,108,6,5.5,,11.5
,Egernia_striata,MALE,45,,49,1.5,1.5,,3
,Egernia_striata,MALE,98,20.5,117,4,4,,8
,Egernia_striata,MALE,102,31,,4.5,5,,9.5
,Egernia_striata,MALE,63,7.5,81,1,1,,2
,Egernia_striata,MALE,64,9,81,2,2,,4
,Egernia_striata,MALE,107,35,,4.5,4.5,,9
,Egernia_striata,MALE,63,8.5,86,1,1,,2
,Egernia_striata,MALE,60,6.5,80,2.5,1.5,,4
,Egernia_striata,MALE,61,6.5,83,1,1,,2
,Egernia_striata,MALE,58,5.5,78,1,1,,2
,Egernia_striata,MALE,101,32.5,,6.5,6,,12.5
,Egernia_striata,MALE,106,34,,6,7.5,,13.5
,Egernia_striata,MALE,58,6,83,1.5,1,,2.5
,Egernia_striata,MALE,96,24.5,,4.5,4.5,,9
,Egernia_striata,MALE,104,35,,6,6.5,,12.5
,Egernia_striata,MALE,60,6,75,1.5,1,,2.5
,Egernia_striata,MALE,101,26.5,,4.5,4.5,,9
,Egernia_striata,MALE,59,6,,1,1,,2
,Egernia_striata,MALE,67,7,82,1.5,1,,2.5
,Egernia_striata,MALE,64,8.5,86,1.5,1,,2.5
,Egernia_striata,MALE,70,10.5,88,1.5,1,,2.5
,Egernia_striata,MALE,69,8.5,81,2.5,2,,4.5
,Egernia_striata,MALE,71,6.5,83,2,1.5,,3.5
,Egernia_striata,MALE,99,26.3,,5,6,,11
,Egernia_striata,MALE,75,10,105,0.5,1.5,,2
,Egernia_striata,MALE,79,14,104,2.5,1.5,,4
,Egernia_striata,MALE,108,32,,9,7,,16
,Egernia_striata,MALE,98,26,130,5,4,,9
,Egernia_striata,MALE,84,13.7,111,3,2.5,,5.5
,Egernia_striata,MALE,80,11.2,88,3,2,,5
,Egernia_striata,MALE,106,32,110,7.5,7,,14.5
,Egernia_striata,MALE,108,37.2,138,6,5.5,,11.5
,Egernia_striata,MALE,50,3.2,63,1.5,1,,2.5
,Egernia_striata,MALE,105,31,131,5.5,4.5,,10
,Egernia_striata,MALE,111,37.7,,7.5,7,,14.5
,Egernia_striata,MALE,54,5,73,1,1.5,,2.5
,Egernia_striata,MALE,99,24,136,4,4,,8
,Egernia_striata,MALE,54,3.2,65,1.5,1,,2.5
,Egernia_striata,MALE,101,31.5,141,6,5,,11
,Egernia_striata,MALE,48,3,,1,1,,2
,Egernia_striata,MALE,106,34.5,,6,6,,12
,Egernia_striata,MALE,94,19.7,,5,4.5,,9.5
,Egernia_striata,MALE,97,23.9,120,7,7,,14
,Egernia_striata,MALE,68,9,,1.5,1.5,,3
,Egernia_striata,MALE,102,26.9,129,7,7,,14
,Egernia_striata,MALE,67,6.8,90,2,2,,4
,Egernia_striata,MALE,68,7.4,94,2,2,,4
,Egernia_striata,MALE,105,31.4,,2,1.5,,3.5
,Egernia_striata,MALE,101,23.9,117,5,5,,10
,Egernia_striata,MALE,105,27.3,,6,5.5,,11.5
,Egernia_striata,MALE,92,17.5,118,5,5,,10
,Egernia_striata,MALE,70,7,91,2.5,2.5,,5
,Egernia_striata,MALE,101,23.3,130,5.5,6,,11.5
,Egernia_striata,MALE,100,24.5,,5,5,,10
,Egernia_striata,MALE,107,28,,5,5,,10
,Egernia_striata,MALE,78,9.2,,3,2.5,,5.5
,Egernia_striata,MALE,108,28.7,,6,5,,11
,Egernia_striata,MALE,92,20.5,123,6,6,,12
,Egernia_striata,MALE,105,25.7,,5,5,,10
,Egernia_striata,MALE,103,28.9,,6,6,,12
,Egernia_striata,MALE,105,26.4,,5,3.5,,8.5
,Egernia_striata,MALE,105,25.8,122,4,5,,9
,Egernia_striata,MALE,106,35.8,,5.5,5.5,,11
,Egernia_striata,MALE,100,25,109,4,3.5,,7.5
,Egernia_striata,MALE,102,30.2,,4,4.5,,8.5
,Egernia_striata,MALE,100,29.9,136,4,5,,9
,Egernia_striata,MALE,102,29.7,130,6.5,6.5,,13
,Egernia_striata,MALE,100,26.7,,5.5,5.5,,11
,Egernia_striata,MALE,61,5.3,81,1.5,1.5,,3
,Egernia_striata,MALE,101,27.2,117,6,7,,13
,Egernia_striata,MALE,102,32.6,121,5,5,,10
,Egernia_striata,MALE,86,16.5,113,4,4,,8
,Egernia_striata,MALE,92,17.9,126,4,4,,8
335.1,Egernia_striata,MALE,106,27,,5,5,335.1,10
50.27,Egernia_striata,MALE,92,16.7,111,3,3,50.27,6
4.19,Egernia_striata,MALE,64,5.2,80,1,1,4.19,2
67.02,Egernia_striata,MALE,95,18.4,117,4,4,67.02,8
8.38,Egernia_striata,MALE,71,8,90,2,2,8.38,4
50.27,Egernia_striata,MALE,89,14,106,3,3,50.27,6
4.19,Egernia_striata,MALE,59,5.3,,1,1,4.19,2
188.5,Egernia_striata,MALE,94,19,120,5,5,188.5,10
67.02,Egernia_striata,MALE,101,23.2,118,4,4,67.02,8
188.5,Egernia_striata,MALE,95,22.7,107,5,5,188.5,10
50.27,Egernia_striata,MALE,98,25.2,,3,3,50.27,6
75.4,Egernia_striata,MALE,103,25.2,,5,4,75.4,9
58.64,Egernia_striata,MALE,94,20.6,115,3,4,58.64,7
67.02,Egernia_striata,MALE,98,22.5,,4,4,67.02,8
50.27,Egernia_striata,MALE,91,19,121,3,3,50.27,6
50.27,Egernia_striata,MALE,92,17.1,120,3,3,50.27,6
50.27,Egernia_striata,MALE,91,20.1,,3,3,50.27,6
8.38,Egernia_striata,MALE,73,8,,2,2,8.38,4
67.02,Egernia_striata,MALE,91,17.9,,4,4,67.02,8
50.27,Egernia_striata,MALE,93,16.4,,3,3,50.27,6
75.4,Egernia_striata,MALE,98,23,121,5,4,75.4,9
10.47,Egernia_striata,MALE,85,13.9,,3,2,10.47,5
136.14,Egernia_striata,MALE,95,25.1,126,5,5,136.14,10
50.27,Egernia_striata,MALE,92,19.8,118,3,3,50.27,6
67.02,Egernia_striata,MALE,103,27.1,,4,4,67.02,8
100.53,Egernia_striata,MALE,99,25.8,,3,4,100.53,7
14.66,Egernia_striata,MALE,68,7.6,82,4,3,14.66,7
50.27,Egernia_striata,MALE,94,19.9,123,3,3,50.27,6
58.64,Egernia_striata,MALE,95,23,,4,3,58.64,7
31.42,Egernia_striata,MALE,87,18.9,106,3,3,31.42,6
136.14,Egernia_striata,MALE,103,29.6,,5,5,136.14,10
,Egernia_striata,MALE,99,22.4,130,,,,
31.42,Egernia_striata,MALE,82,10.3,,3,3,31.42,6
67.02,Egernia_striata,MALE,95,18,,5,3,67.02,8
50.27,Egernia_striata,MALE,87,14.3,,3,3,50.27,6
50.27,Egernia_striata,MALE,85,16.2,105,3,3,50.27,6
8.38,Egernia_striata,MALE,82,13.6,,2,2,8.38,4
8.38,Egernia_striata,MALE,76,9.5,95,2,2,8.38,4
50.27,Egernia_striata,MALE,91,16.8,111,3,3,50.27,6
67.02,Egernia_striata,MALE,103,27.5,,5,3,67.02,8
31.42,Egernia_striata,MALE,89,16.4,104,3,3,31.42,6
75.4,Egernia_striata,MALE,98,24,117,5,4,75.4,9
50.27,Egernia_striata,MALE,87,18.3,109,3,3,50.27,6
58.64,Egernia_striata,MALE,95,17.9,118,4,3,58.64,7
58.64,Egernia_striata,MALE,99,23.3,130,4,3,58.64,7
50.27,Egernia_striata,MALE,103,28.5,136,3,3,50.27,6
67.02,Egernia_striata,MALE,99,20.3,127,4,4,67.02,8
75.4,Egernia_striata,MALE,96,23.2,,5,4,75.4,9
50.27,Egernia_striata,MALE,87,14.4,107,3,3,50.27,6
242.95,Egernia_striata,MALE,98,28,119,5,4,242.95,9
335.1,Egernia_striata,MALE,101,29,,5,5,335.1,10
733.04,Egernia_striata,MALE,104,29,,7,7,733.04,14
733.04,Egernia_striata,MALE,96,23.3,,7,7,733.04,14
628.32,Egernia_striata,MALE,101,24.8,,6,6,628.32,12
335.1,Egernia_striata,MALE,102,25.8,,5,5,335.1,10
481.71,Egernia_striata,MALE,98,23.8,,6,5,481.71,11
335.1,Egernia_striata,MALE,94,20.5,,5,5,335.1,10
335.1,Egernia_striata,MALE,71,8.5,90,5,5,335.1,10
335.1,Egernia_striata,MALE,104,28,,5,5,335.1,10
58.64,Egernia_striata,MALE,92,16,122,4,3,58.64,7
127.76,Egernia_striata,MALE,97,24.5,,5,4,127.76,9
67.02,Egernia_striata,MALE,103,25.3,,4,4,67.02,8
10.47,Egernia_striata,MALE,78,9.5,101,2,3,10.47,5
50.27,Egernia_striata,MALE,85,14.5,,3,3,50.27,6
50.27,Egernia_striata,MALE,93,19.5,121,3,3,50.27,6
75.4,Egernia_striata,MALE,95,26.3,,4,5,75.4,9
8.38,Egernia_striata,MALE,72,8.1,92,2,2,8.38,4
942.48,Egernia_striata,MALE,109,30.6,,9,9,942.48,18
45.29,Egernia_striata,MALE,87,13.7,,4,2.5,45.29,6.5
188.5,Egernia_striata,MALE,105,27.7,120,5,5,188.5,10
83.78,Egernia_striata,MALE,99,23.6,,5,5,83.78,10
67.02,Egernia_striata,MALE,101,28.7,132,4,4,67.02,8
58.64,Egernia_striata,MALE,96,22.2,,4,3,58.64,7
8.38,Egernia_striata,MALE,67,6.6,89,2.5,1.5,8.38,4
201.06,Egernia_striata,MALE,93,19.5,122,6.5,6,201.06,12.5
178.55,Egernia_striata,MALE,95,22.8,,6,5,178.55,11
,Egernia_striata,MALE,85,14.1,106,,,,
54.45,Egernia_striata,MALE,95,21.4,,3,3.5,54.45,6.5
169.65,Egernia_striata,MALE,98,18.4,130,5,4,169.65,9
172.79,Egernia_striata,MALE,101,26.1,,6,5,172.79,11
41.1,Egernia_striata,MALE,76,9.1,98,3.5,2.5,41.1,6
210.49,Egernia_striata,MALE,92,19.9,,7,6,210.49,13
169.65,Egernia_striata,MALE,94,17.9,,5,4,169.65,9
1526.82,Egernia_striata,MALE,98,23.3,123,8,9,1526.82,17
295.31,Egernia_striata,MALE,91,15.6,,6,5,295.31,11
1600.12,Egernia_striata,MALE,100,27.3,134,11,9,1600.12,20
295.31,Egernia_striata,MALE,83,13.6,,6,5,295.31,11
946.67,Egernia_striata,MALE,103,25.9,,8,7,946.67,15
653.45,Egernia_striata,MALE,100,21.6,120,8,7,653.45,15
502.66,Egernia_striata,MALE,99,20.9,,8,7,502.66,15
686.96,Egernia_striata,MALE,94,19.2,,7,6,686.96,13
18.33,Egernia_striata,MALE,68,7.1,,3,2,18.33,5
1281.77,Egernia_striata,MALE,102,28.2,126,8,9,1281.77,17
995.89,Egernia_striata,MALE,97,23.4,,8,7.5,995.89,15.5
18.33,Egernia_striata,MALE,67,7.7,85,3,2,18.33,5
58.64,Egernia_striata,MALE,88,15.1,112,3.5,3.5,58.64,7
