Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date,
1430,L,1430_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,27.4,36.4,1107,141178,14,11,1978,14/11/1978,
1829,E,1829_E,Varanus,gouldii,Varanus gouldii,M ,Adult,MALE,29,36.4,750,71278,7,12,1978,7/12/1978,
2159,L,2159_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,29.6,36.4,1108,181278,18,12,1978,18/12/1978,
2051,L,2051_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,30.6,36.4,1138,161278,16,12,1978,16/12/1978,
2158,L,2158_L,Ctenotus,ariadnae,Ctenotus ariadnae,B ,Yearling,UNK,31.4,36.4,1144,181278,18,12,1978,18/12/1978,
1277,L,1277_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,32,36.4,1743,71178,7,11,1978,7/11/1978,
1834,E,1834_E,Ctenotus,nasutus,Ctenotus nasutus,UNK,UNK,UNK,32.4,36.4,905,71278,7,12,1978,7/12/1978,
1275,L,1275_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,32.8,36.4,1730,71178,7,11,1978,7/11/1978,
1265,L,1265_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,33.6,36.4,1635,71178,7,11,1978,7/11/1978,
1661,L,1661_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,20.3,36.5,806,291178,29,11,1978,29/11/1978,
895,R,895_R,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,20.4,36.5,1130,310878,31,8,1978,31/8/1978,
933,L,933_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,20.4,36.5,924,161078,16,10,1978,16/10/1978,
1064,L,1064_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,24,36.5,1622,281078,28,10,1978,28/10/1978,
1109,R,1109_R,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,26.5,36.5,1637,311078,31,10,1978,31/10/1978,
2209,R,2209_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,27.9,36.5,1709,281278,28,12,1978,28/12/1978,
