Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date,
2014,I,2014_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,J,Juvenile,UNK,29.8,35,1545,151278,15,12,78,15/12/1978,1
2019,I,2019_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,M,Adult,MALE,31.6,38,1545,151278,15,12,78,15/12/1978,
2018,I,2018_I,Ctenophorus,caudicinctus,Ctenophorus caudicinctus,M,Adult,MALE,31.8,38.1,1556,151278,15,12,78,15/12/1978,
22857,R,22857_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,15.2,15.8,640,121089,12,10,89,12/10/1989,
23154,R,23154_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,19.4,18.8,350,101189,10,11,89,10/11/1989,
22900,R,22900_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,17.7,19.7,1900,221089,22,10,89,22/10/1989,
23558,L,23558_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,19.1,19.8,500,31289,3,12,89,3/12/1989,
22842,R,22842_R,Rhynchoedura,ornata,Rhynchoedura ornata,UNK,UNK,UNK,19.4,20,1845,91089,9,10,89,9/10/1989,
22819,L,22819_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,25.4,22.1,900,51089,5,10,89,5/10/1989,
22986,L,22986_L,Gehyra,purpurascens,Gehyra purpurascens,M,Adult,MALE,22.4,22.2,1920,11189,1,11,89,1/11/1989,
22923,R,22923_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,21.6,22.4,1850,231089,23,10,89,23/10/1989,
22803,L,22803_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,19.4,23.4,1015,21089,2,10,89,2/10/1989,
22924,R,22924_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23.4,23.4,1920,231089,23,10,89,23/10/1989,
22871,L,22871_L,Gehyra,purpurascens,Gehyra purpurascens,M,Adult,MALE,24.3,24.2,1845,181089,18,10,89,18/10/1989,
22987,L,22987_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,23.2,24.9,740,21189,2,11,89,2/11/1989,
22881,L,22881_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,19.7,25.2,725,201089,20,10,89,20/10/1989,
23553,L,23553_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,24.2,25.3,2029,31289,3,12,89,3/12/1989,
22828,R,22828_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,18.5,25.4,945,81089,8,10,89,8/10/1989,
23552,L,23552_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,25.2,25.4,1958,31289,3,12,89,3/12/1989,
22841,R,22841_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,20.5,26.4,1840,91089,9,10,89,9/10/1989,
23551,L,23551_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,25.6,26.4,1945,31289,3,12,89,3/12/1989,
22826,R,22826_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,26.6,26.4,1836,61089,6,10,89,6/10/1989,
22833,R,22833_R,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,16.1,26.7,1915,81089,8,10,89,8/10/1989,
22866,G,22866_G,Moloch,horridus,Moloch horridus,M,Adult,MALE,27.5,27,750,141089,14,10,89,14/10/1989,
22801,L,22801_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,24.8,27.2,1830,11089,1,10,89,1/10/1989,
22827,R,22827_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,26.6,27.3,1840,61089,6,10,89,6/10/1989,
23285,L,23285_L,Liopholis,striata,Liopholis striata,M,Adult,MALE,28.6,27.3,725,201189,20,11,89,20/11/1989,
22959,R,22959_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,23.3,27.7,1515,261089,26,10,89,26/10/1989,
22951,R,22951_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,25.4,27.9,955,251089,25,10,89,25/10/1989,
22834,R,22834_R,Liopholis,inornata,Liopholis inornata,F,Adult,FEMALE,19.6,28,735,91089,9,10,89,9/10/1989,
22867,S,22867_S,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,28,28,1833,141089,14,10,89,14/10/1989,
22808,L,22808_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,21.4,28.2,1200,31089,3,10,89,3/10/1989,
22844,R,22844_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,28.5,28.2,915,101089,10,10,89,10/10/1989,
22963,L,22963_L,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,26.9,28.6,915,281089,28,10,89,28/10/1989,
23664,R,23664_R,Varanus,tristis,Varanus tristis,F,Adult,FEMALE,24.9,28.8,930,191289,19,12,89,19/12/1989,
22815,L,22815_L,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,23.3,28.9,1025,41089,4,10,89,4/10/1989,
23486,R,23486_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,30.4,29.2,1950,301189,30,11,89,30/11/1989,
22971,L,22971_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,23.2,29.4,800,291089,29,10,89,29/10/1989,
23586,L,23586_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,30.2,29.4,1940,51289,5,12,89,5/12/1989,
22832,R,22832_R,Pogona,minor,Pogona minor,F,Adult,FEMALE,26.2,30.4,1610,81089,8,10,89,8/10/1989,
22830,R,22830_R,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,26.4,30.5,1435,81089,8,10,89,8/10/1989,
23700,R,23700_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,30.8,30.6,925,211289,21,12,89,21/12/1989,
23275,L,23275_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,27.5,30.7,1115,191189,19,11,89,19/11/1989,
23760,R,23760_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,30.9,31,2001,241289,24,12,89,24/12/1989,
23487,R,23487_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,30.2,31.2,2004,301189,30,11,89,30/11/1989,
22972,L,22972_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,24.1,31.4,810,291089,29,10,89,29/10/1989,
22935,R,22935_R,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,24.6,31.4,855,241089,24,10,89,24/10/1989,
23286,L,23286_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,27.6,31.4,757,201189,20,11,89,20/11/1989,
23647,L,23647_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,22.8,31.5,1025,171289,17,12,89,17/12/1989,
22812,L,22812_L,Varanus,gouldii,Varanus gouldii,M,Adult,MALE,20.2,31.7,750,41089,4,10,89,4/10/1989,
23539,L,23539_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,25.2,31.8,745,31289,3,12,89,3/12/1989,
22889,L,22889_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,26.3,32,835,211089,21,10,89,21/10/1989,
23192,R,23192_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,30.5,32,1700,111189,11,11,89,11/11/1989,
23086,R,23086_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,31.4,32,1640,81189,8,11,89,8/11/1989,
22968,L,22968_L,Nephrurus,levis,Nephrurus levis,UNK,UNK,UNK,32,32,1550,281089,28,10,89,28/10/1989,
23018,R,23018_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,19,32.4,1150,51189,5,11,89,5/11/1989,
23652,L,23652_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,20.5,32.4,730,181289,18,12,89,18/12/1989,
23263,L,23263_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,18.9,32.9,750,181189,18,11,89,18/11/1989,
22875,L,22875_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,22.2,33,1046,191089,19,10,89,19/10/1989,
22950,R,22950_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,27.1,33,945,251089,25,10,89,25/10/1989,
23214,L,23214_L,Ctenotus,schomburgkii,Ctenotus schomburgkii,UNK,UNK,UNK,28.8,33,1630,121189,12,11,89,12/11/1989,
23485,R,23485_R,Ctenotus,ariadnae,Ctenotus ariadnae,UNK,UNK,UNK,34,33,1805,301189,30,11,89,30/11/1989,
23059,R,23059_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,29,33.1,1635,71189,7,11,89,7/11/1989,
22805,L,22805_L,Ctenophorus,nuchalis,Ctenophorus nuchalis,UNK,UNK,UNK,23.1,33.3,1405,21089,2,10,89,2/10/1989,
22939,R,22939_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,25.5,33.4,1120,241089,24,10,89,24/10/1989,
22822,L,22822_L,Ctenotus,schomburgkii,Ctenotus schomburgkii,UNK,UNK,UNK,28.3,33.4,840,61089,6,10,89,6/10/1989,
23670,R,23670_R,Pogona,minor,Pogona minor,UNK,UNK,UNK,29,33.4,1140,191289,19,12,89,19/12/1989,
22934,R,22934_R,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,25,33.6,820,241089,24,10,89,24/10/1989,
22952,R,22952_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,25.1,33.7,1110,251089,25,10,89,25/10/1989,
22861,R,22861_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,21.7,33.8,755,121089,12,10,89,12/10/1989,
23052,R,23052_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,26.7,33.9,1050,71189,7,11,89,7/11/1989,
23053,R,23053_R,Pogona,minor,Pogona minor,UNK,UNK,UNK,26.7,34,1055,71189,7,11,89,7/11/1989,
23494,R,23494_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,29.3,34,900,11289,1,12,89,1/12/1989,
22848,R,22848_R,Varanus,eremius,Varanus eremius,UNK,UNK,UNK,31,34,1655,101089,10,10,89,10/10/1989,
23388,R,23388_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,31.7,34.2,1530,251189,25,11,89,25/11/1989,
22843,R,22843_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,24.2,34.4,716,101089,10,10,89,10/10/1989,
22995,L,22995_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,31,34.4,1225,31189,3,11,89,3/11/1989,
22919,R,22919_R,Ctenotus,quatt,Ctenotus quatt,F,Adult,FEMALE,26.3,34.5,1455,231089,23,10,89,23/10/1989,
22862,R,22862_R,Varanus,gouldii,Varanus gouldii,F,Adult,FEMALE,21.4,34.6,806,121089,12,10,89,12/10/1989,
22813,L,22813_L,Ctenotus,pantherinus,Ctenotus pantherinus,UNK,UNK,UNK,22.4,34.8,840,41089,4,10,89,4/10/1989,
23234,L,23234_L,Ctenotus,schomburgkii,Ctenotus schomburgkii,UNK,UNK,UNK,23.5,35,900,141189,14,11,89,14/11/1989,
23193,R,23193_R,Varanus,tristis,Varanus tristis,F,Adult,FEMALE,30.5,35,1750,111189,11,11,89,11/11/1989,
23594,L,23594_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,34.4,35.1,800,61289,6,12,89,6/12/1989,
22839,R,22839_R,Varanus,tristis,Varanus tristis,M,Adult,MALE,28,35.2,1605,91089,9,10,89,9/10/1989,
22835,R,22835_R,Pogona,minor,Pogona minor,F,Adult,FEMALE,23.4,35.6,828,91089,9,10,89,9/10/1989,
22823,L,22823_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,28.4,35.6,906,61089,6,10,89,6/10/1989,
22874,L,22874_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,22.1,35.8,1042,191089,19,10,89,19/10/1989,
23540,L,23540_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,25.2,35.9,750,31289,3,12,89,3/12/1989,
22845,R,22845_R,Ctenotus,piankai,Ctenotus piankai,UNK,UNK,UNK,29.5,36,1022,101089,10,10,89,10/10/1989,
22821,L,22821_L,Varanus,tristis,Varanus tristis,M,Adult,MALE,31,36.1,1645,51089,5,10,89,5/10/1989,
22818,L,22818_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,27.6,36.3,1625,41089,4,10,89,4/10/1989,
23459,R,23459_R,Ctenophorus,clayi,Ctenophorus clayi,F,Adult,FEMALE,33.6,36.3,1230,291189,29,11,89,29/11/1989,
22907,R,22907_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,24.5,36.4,1002,231089,23,10,89,23/10/1989,
23470,R,23470_R,Ctenotus,helenae,Ctenotus helenae,UNK,UNK,UNK,31.8,36.4,1055,301189,30,11,89,30/11/1989,
22824,L,22824_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,28.8,36.5,932,61089,6,10,89,6/10/1989,
23189,R,23189_R,Lophognathus,longirostris,Lophognathus longirostris,M,Adult,MALE,33,36.5,1630,111189,11,11,89,11/11/1989,
22814,L,22814_L,Ctenotus,schomburgkii,Ctenotus schomburgkii,UNK,UNK,UNK,22.4,36.6,855,41089,4,10,89,4/10/1989,
22820,L,22820_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,31.7,36.7,1600,51089,5,10,89,5/10/1989,
23387,R,23387_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,31.7,36.8,1515,251189,25,11,89,25/11/1989,
23293,L,23293_L,Varanus,eremius,Varanus eremius,M,Adult,MALE,34.6,36.8,1605,201189,20,11,89,20/11/1989,
22864,R,22864_R,Pogona,minor,Pogona minor,UNK,UNK,UNK,24.6,36.9,1122,121089,12,10,89,12/10/1989,
23669,R,23669_R,Ctenotus,piankai,Ctenotus piankai,UNK,UNK,UNK,29.1,36.9,1152,191289,19,12,89,19/12/1989,
23582,L,23582_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,33,36.9,1547,51289,5,12,89,5/12/1989,
22908,R,22908_R,Ctenotus,piankai,Ctenotus piankai,M,Adult,MALE,25.8,37,1200,231089,23,10,89,23/10/1989,
23473,R,23473_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,33.2,37,1130,301189,30,11,89,30/11/1989,
23614,I,23614_I,Ctenophorus,scutulatus,Ctenophorus scutulatus,UNK,UNK,UNK,32.8,37.2,1400,91289,9,12,89,9/12/1989,
23527,R,23527_R,Ctenotus,quatt,Ctenotus quatt,M,Adult,MALE,27.2,37.3,1215,21289,2,12,89,2/12/1989,
23501,R,23501_R,Varanus,gouldii,Varanus gouldii,M,Adult,MALE,29,37.4,958,11289,1,12,89,1/12/1989,
23510,R,23510_R,Varanus,tristis,Varanus tristis,F,Adult,FEMALE,30.6,37.4,1720,11289,1,12,89,1/12/1989,
23471,R,23471_R,Menetia,greyii,Menetia greyii,UNK,UNK,UNK,31.3,37.4,1100,301189,30,11,89,30/11/1989,
23468,R,23468_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,29.8,37.7,1032,301189,30,11,89,30/11/1989,
23458,R,23458_R,Ctenophorus,clayi,Ctenophorus clayi,F,Adult,FEMALE,32.8,37.7,1205,291189,29,11,89,29/11/1989,
22892,R,22892_R,Varanus,gouldii,Varanus gouldii,UNK,UNK,UNK,31.2,37.9,1640,211089,21,10,89,21/10/1989,
23694,R,23694_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,31.2,37.9,1749,201289,20,12,89,20/12/1989,
23183,R,23183_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,31.8,37.9,1315,111189,11,11,89,11/11/1989,
22891,L,22891_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,28,38,910,211089,21,10,89,21/10/1989,
23504,R,23504_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,31,38,1330,11289,1,12,89,1/12/1989,
23571,L,23571_L,Varanus,gouldii,Varanus gouldii,M,Adult,MALE,33.6,38,905,51289,5,12,89,5/12/1989,
23405,R,23405_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,35.1,38,1430,261189,26,11,89,26/11/1989,
23581,L,23581_L,Ctenotus,quatt,Ctenotus quatt,M,Adult,MALE,35.2,38,1532,51289,5,12,89,5/12/1989,
22890,L,22890_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,28.1,38.1,900,211089,21,10,89,21/10/1989,
23753,R,23753_R,Lophognathus,longirostris,Lophognathus longirostris,M,Adult,MALE,35.1,38.2,916,241289,24,12,89,24/12/1989,
23025,R,23025_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,24,38.3,1020,61189,6,11,89,6/11/1989,
22865,G,22865_G,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,29,38.4,1630,131089,13,10,89,13/10/1989,
23467,R,23467_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,29.8,38.4,1030,301189,30,11,89,30/11/1989,
23294,L,23294_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,34.6,38.4,1610,201189,20,11,89,20/11/1989,
22978,L,22978_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,26.7,38.5,1030,291089,29,10,89,29/10/1989,
23710,R,23710_R,Varanus,tristis,Varanus tristis,M,Adult,MALE,34.4,38.5,1736,211289,21,12,89,21/12/1989,
23220,L,23220_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,25,38.6,815,131189,13,11,89,13/11/1989,
22973,L,22973_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,24.9,38.8,820,291089,29,10,89,29/10/1989,
23472,R,23472_R,Ctenotus,piankai,Ctenotus piankai,UNK,UNK,UNK,32.6,38.8,1120,301189,30,11,89,30/11/1989,
23011,L,23011_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,25.2,38.9,1210,41189,4,11,89,4/11/1989,
23386,R,23386_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,31.7,39.2,1515,251189,25,11,89,25/11/1989,
23466,R,23466_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,29.8,39.4,1025,301189,30,11,89,30/11/1989,
23580,L,23580_L,Ctenotus,quatt,Ctenotus quatt,F,Adult,FEMALE,35.2,39.4,1530,51289,5,12,89,5/12/1989,
23544,L,23544_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,26.2,39.6,1348,31289,3,12,89,3/12/1989,
23272,L,23272_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,26.6,39.6,1005,191189,19,11,89,19/11/1989,
22976,L,22976_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,25.5,39.7,850,291089,29,10,89,29/10/1989,
23583,L,23583_L,Ctenotus,quatt,Ctenotus quatt,M,Adult,MALE,36.4,39.8,1642,51289,5,12,89,5/12/1989,
23456,R,23456_R,Ctenophorus,clayi,Ctenophorus clayi,F,Adult,FEMALE,32,39.9,1140,291189,29,11,89,29/11/1989,
22810,L,22810_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,22.4,40,1455,31089,3,10,89,3/10/1989,
23030,R,23030_R,Ctenophorus,clayi,Ctenophorus clayi,F,Adult,FEMALE,25.6,40,1210,61189,6,11,89,6/11/1989,
22868,S,22868_S,Ctenophorus,spp,Ctenophorus spp,F,Adult,FEMALE,19.7,40.1,952,151089,15,10,89,15/10/1989,
22974,L,22974_L,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,25.3,40.2,830,291089,29,10,89,29/10/1989,
23481,R,23481_R,Ctenotus,piankai,Ctenotus piankai,UNK,UNK,UNK,36.3,40.4,1315,301189,30,11,89,30/11/1989,
23229,L,23229_L,Ctenotus,quatt,Ctenotus quatt,M,Adult,MALE,29,41,1200,131189,13,11,89,13/11/1989,
23469,R,23469_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,31.7,41.4,1050,301189,30,11,89,30/11/1989,
22846,R,22846_R,Ctenophorus,isolepis,Ctenophorus isolepis,M,Adult,MALE,31,41.7,1040,101089,10,10,89,10/10/1989,
22975,L,22975_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,25.5,42,840,291089,29,10,89,29/10/1989,
23279,L,23279_L,Varanus,eremius,Varanus eremius,M,Adult,MALE,30.4,42.2,1400,191189,19,11,89,19/11/1989,
23802,L,23802_L,Ctenophorus,isolepis,Ctenophorus isolepis,F,Adult,FEMALE,37.6,42.3,946,301289,30,12,89,30/12/1989,
22990,L,22990_L,Ctenotus,quatt,Ctenotus quatt,M,Adult,MALE,29,42.8,1150,21189,2,11,89,2/11/1989,
22802,L,22802_L,Lerista,bipes,Lerista bipes,UNK,UNK,UNK,18,,750,21089,2,10,89,2/10/1989,
22880,L,22880_L,Cryptoblepharus,buchananii,Cryptoblepharus buchananii,UNK,UNK,UNK,19.5,,715,201089,20,10,89,20/10/1989,
22809,L,22809_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,22.5,,1200,31089,3,10,89,3/10/1989,
22933,R,22933_R,Ctenotus,brooksi,Ctenotus brooksi,UNK,UNK,UNK,25,,815,241089,24,10,89,24/10/1989,
22953,R,22953_R,Ctenotus,nasutus,Ctenotus nasutus,UNK,UNK,UNK,25,,1010,251089,25,10,89,25/10/1989,
23060,R,23060_R,Ctenophorus,clayi,Ctenophorus clayi,M,Adult,MALE,29,,1630,71189,7,11,89,7/11/1989,
23061,R,23061_R,Ctenotus,brooksi,Ctenotus brooksi,UNK,UNK,UNK,29,,1640,71189,7,11,89,7/11/1989,
24629,R,24629_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,16,17,2005,230290,23,2,90,23/2/1990,
24628,R,24628_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,17,17,1915,230290,23,2,90,23/2/1990,
25145,R,25145_R,Pogona,minor,Pogona minor,F,Adult,FEMALE,16.7,18,625,121090,12,10,90,12/10/1990,
24438,R,24438_R,Nephrurus,laevissimus,Nephrurus laevissimus,M,Adult,MALE,18,19,2000,160290,16,2,90,16/2/1990,
24440,R,24440_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,18,19.2,2045,160290,16,2,90,16/2/1990,
24913,R,24913_R,Nephrurus,laevissimus,Nephrurus laevissimus,M,Adult,MALE,22.2,19.6,1850,80990,8,9,90,8/9/1990,
25452,R,25452_R,Moloch,horridus,Moloch horridus,F,Adult,FEMALE,19.5,20.1,630,111190,11,11,90,11/11/1990,
24439,R,24439_R,Nephrurus,laevissimus,Nephrurus laevissimus,M,Adult,MALE,19,21,2010,160290,16,2,90,16/2/1990,
24441,R,24441_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,19,21,2125,160290,16,2,90,16/2/1990,
25104,L,25104_L,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,22,21.7,1900,81090,8,10,90,8/10/1990,
24993,R,24993_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,22.4,22,1900,240990,24,9,90,24/9/1990,
24793,L,24793_L,Nephrurus,levis,Nephrurus levis,M,Adult,MALE,26.6,22.2,2012,10390,1,3,90,1/3/1990,
25107,L,25107_L,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,20.9,22.4,1915,81090,8,10,90,8/10/1990,
25462,R,25462_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,26.4,22.5,1958,111190,11,11,90,11/11/1990,
24460,R,24460_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,19,23,2130,170290,17,2,90,17/2/1990,
24578,R,24578_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,22,23,1920,210290,21,2,90,21/2/1990,
24800,L,24800_L,Nephrurus,levis,Nephrurus levis,F,Adult,FEMALE,24.2,23,2115,10390,1,3,90,1/3/1990,
24247,L,24247_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,21.9,23.2,1951,10290,1,2,90,1/2/1990,
25106,L,25106_L,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,21.5,23.4,1910,81090,8,10,90,8/10/1990,
25105,L,25105_L,Gehyra,purpurascens,Gehyra purpurascens,F,Adult,FEMALE,22,23.6,1905,81090,8,10,90,8/10/1990,
24659,L,24659_L,Diplodactylus,conspicillatus,Diplodactylus conspicillatus,UNK,UNK,UNK,24.3,23.6,1955,250290,25,2,90,25/2/1990,
24580,R,24580_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,22,24,2015,210290,21,2,90,21/2/1990,
24577,R,24577_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23,24,1900,210290,21,2,90,21/2/1990,
24658,L,24658_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23,24,2040,250290,25,2,90,25/2/1990,
24618,R,24618_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,24,24,2100,220290,22,2,90,22/2/1990,
24428,R,24428_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,16.2,24.2,615,160290,16,2,90,16/2/1990,
24660,L,24660_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23.8,24.2,2009,250290,25,2,90,25/2/1990,
24912,R,24912_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23.6,24.4,1825,80990,8,9,90,8/9/1990,
25463,R,25463_R,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,24.5,24.4,2020,111190,11,11,90,11/11/1990,
24653,L,24653_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,20,24.5,1933,250290,25,2,90,25/2/1990,
24656,L,24656_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,22.2,24.5,1945,250290,25,2,90,25/2/1990,
24614,R,24614_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,23,24.5,2030,220290,22,2,90,22/2/1990,
24619,R,24619_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,24.5,24.5,2105,220290,22,2,90,22/2/1990,
24617,R,24617_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,24.8,24.5,2050,220290,22,2,90,22/2/1990,
24615,R,24615_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,25,24.5,2040,220290,22,2,90,22/2/1990,
24620,R,24620_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,25,24.5,2110,220290,22,2,90,22/2/1990,
24655,L,24655_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,21.4,24.6,1940,250290,25,2,90,25/2/1990,
24657,L,24657_L,Gehyra,purpurascens,Gehyra purpurascens,UNK,UNK,UNK,23,24.8,2020,250290,25,2,90,25/2/1990,
24613,R,24613_R,Nephrurus,laevissimus,Nephrurus laevissimus,F,Adult,FEMALE,22,25,2020,220290,22,2,90,22/2/1990,
