Area,Number,Genus,Species,Genus_species,Ovarian,Oviductal,CS,Cvol,Wt,SVL,RCM
I,11989,Pogona,minor,Pogona_minor,,,8,13,62.5,120,0.208
M,11991,Pogona,minor,Pogona_minor,,,12,17.55,83,127,0.211
M,11992,Pogona,minor,Pogona_minor,,,10,16.9,86,128,0.197
M,11993,Pogona,minor,Pogona_minor,,,9,14.9,83.5,130,0.178
L,12039,Pogona,minor,Pogona_minor,,,9,17.98,80,131,0.225
L,12040,Pogona,minor,Pogona_minor,,,3,3.5,42.5,107,0.082
L,12042,Pogona,minor,Pogona_minor,,,8,12.85,72,124,0.178
I,12066,Pogona,minor,Pogona_minor,,,9,12,77,118,0.156
I,12071,Pogona,minor,Pogona_minor,,,7,11.45,48.5,112,0.236
I,12073,Pogona,minor,Pogona_minor,,,12,18.04,85,130,0.212
I,12075,Pogona,minor,Pogona_minor,,,10,13.3,65,120,0.205
E,12122,Pogona,minor,Pogona_minor,,,9,10.2,57,116,0.179
E,12140,Pogona,minor,Pogona_minor,,,11,14.05,71,115,0.198
E,12306,Pogona,minor,Pogona_minor,,,10,14.05,80.5,130,0.175
I,12341,Pogona,minor,Pogona_minor,,,5,7.05,28.7,91,0.246
N,12424,Pogona,minor,Pogona_minor,,,6,7.3,25,91,0.292
I,12456,Pogona,minor,Pogona_minor,,,6,11.45,42.5,104,0.269
A,12507,Pogona,minor,Pogona_minor,,,8,12.32,62.5,124,0.197
M,12684,Pogona,minor,Pogona_minor,,,5,7.8,42.2,111,0.185
A,12772,Pogona,minor,Pogona_minor,,,11,18.85,99,144,0.19
S,12829,Pogona,minor,Pogona_minor,,,5,10.19,52.2,116,0.195
A,13627,Pogona,minor,Pogona_minor,,,6,10.54,66,128,0.16
A,10478,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.36,2.5,,0.144
A,10517,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.3,2.5,,0.12
A,10518,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,2,,0.2
A,10553,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,2.7,,0.148
A,10566,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.38,2.7,,0.141
A,10591,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.38,2,,0.19
A,10592,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.35,3,,0.117
L,10642,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.68,4,,0.17
A,12522,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,3.5,,0.114
D,12692,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.28,1.5,,0.187
A,12757,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.6,3,,0.2
A,12760,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.38,3,,0.127
A,12769,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.51,2.7,,0.189
A,12809,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.42,2,,0.21
A,12810,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,2.2,,0.182
L,12842,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.35,3,,0.117
G,13034,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.42,2.5,,0.168
E,13126,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.6,2.7,,0.222
A,13204,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.36,2.5,,0.144
A,13209,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.55,2.7,,0.204
A,13217,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.5,2.7,,0.185
A,13285,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.6,2.5,,0.24
A,13291,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,2.7,,0.148
M,13325,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.38,2.5,,0.152
M,13359,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,3.2,,0.125
M,13384,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.4,2.2,,0.182
D,13404,Rhynchoedura,ornata,Rhynchoedura_ornata,,,2,0.25,2.7,,0.093
i,24177,Tiliqua,multifasciata,Tiliqua_multifasciata,,,7,,,230,
i,9770,Tiliqua,occipitalis,Tiliqua_occipitalis,,,6,120,410,255,0.293
i,465,Tiliqua,occipitalis,Tiliqua_occipitalis,,,3,69,450,285,0.153
I,13724,Tiliqua,rugosa,Tiliqua_rugosa,,,1,26,377,236,0.069
I,13778,Tiliqua,rugosa,Tiliqua_rugosa,,,2,36,402,248,0.09
I,13801,Tiliqua,rugosa,Tiliqua_rugosa,,,2,43,450,246,0.096
B,28030,Varanus,brevicauda,Varanus_brevicauda,,,2,2.5,12.5,95,0.2
B,28103,Varanus,brevicauda,Varanus_brevicauda,,,2,,10.3,96,
B,28259,Varanus,brevicauda,Varanus_brevicauda,,,2,1.157,8.9,94,0.13
B,28794,Varanus,brevicauda,Varanus_brevicauda,2/3~ 2mm,,,,10.6,95,
B,28997,Varanus,brevicauda,Varanus_brevicauda,2/1~9mm,,3,,10.7,93,
B,29022,Varanus,brevicauda,Varanus_brevicauda,1/1~8mm,,2,,8.4,85,
B,2254,Varanus,brevicauda,Varanus_brevicauda,2/0 5mm,,2,,9.9,97,
B,2259,Varanus,brevicauda,Varanus_brevicauda,,2/1 18-19mm,3,2.5,11.5,105,0.217391304
R,2346,Varanus,brevicauda,Varanus_brevicauda,,2/1 17-22mm,3,2.8,11.4,96,0.245614035
B,2467,Varanus,brevicauda,Varanus_brevicauda,1/1 3mm,,2,,6.8,92,
R,2473,Varanus,brevicauda,Varanus_brevicauda,1/2 5mm,,3,,10.8,94,
B,32378,Varanus,brevicauda,Varanus_brevicauda,2/1 ~4-5mm,,3,,9.9,92,
B,32386,Varanus,brevicauda,Varanus_brevicauda,1/1 ~7mm,,2,,10.9,96,
R,33645,Varanus,brevicauda,Varanus_brevicauda,1/1 ~9-10mm,,2,,11.5,90,
B,34020,Varanus,brevicauda,Varanus_brevicauda,1/1~3mm,,2,,9.7,95,
B,34080,Varanus,brevicauda,Varanus_brevicauda,1/1~8mm,,2,,9.2,95,
E,10448,Varanus,eremius,Varanus_eremius,2/1 x ?,,3,122,,26.9,
A,12501,Varanus,eremius,Varanus_eremius,2/1 x ?,,3,142,,42,
A,12553,Varanus,eremius,Varanus_eremius,1/3 x ?,,4,146,,48.5,
A,12577,Varanus,eremius,Varanus_eremius,4/2 x?,,6,141,,38,
E,12878,Varanus,eremius,Varanus_eremius,3/3 x ?,,6,135,,24.7,
M,13368,Varanus,eremius,Varanus_eremius,,1/2 x?,3,146,8,45.2,0.17699115
D,13437,Varanus,eremius,Varanus_eremius,,2/2 x?,4,148,5.7,39.5,0.144303797
L,1065,Varanus,eremius,Varanus_eremius,2 x 3mm,,2,160,,56.4,
R,1570,Varanus,eremius,Varanus_eremius,1/3 5-6mm,,4,148,,40.1,
L,23534,Varanus,eremius,Varanus_eremius,,2/1 x?,3,144,5.2,38.3,0.135770235
L,27140,Varanus,eremius,Varanus_eremius,3/3 3mm,,6,143,,40,
B,27306,Varanus,eremius,Varanus_eremius,1/1 7mm,,2,110,,20.1,
R,27668,Varanus,eremius,Varanus_eremius,2/2 10mm,,4,147,,40,
B,27901,Varanus,eremius,Varanus_eremius,2/0 4 mm,,2,113,,19,
B,28169,Varanus,eremius,Varanus_eremius,2/2 12mm,,4,143,,36.5,
R,28722,Varanus,eremius,Varanus_eremius,3/3 x 6-7mm,,6,155,,54.8,
R,28868,Varanus,eremius,Varanus_eremius,,2/2 x 26mm,4,132,16,42.7,0.37470726
R,29322,Varanus,eremius,Varanus_eremius,2/1 x 8mm,,3,156,,44.1,
R,29420,Varanus,eremius,Varanus_eremius,3/1 x 2.5mm,,4,146,,34.5,
R,29804,Varanus,eremius,Varanus_eremius,3/2 x 3mm,,5,119,,22.3,
R,31707,Varanus,eremius,Varanus_eremius,4 x 3mm,,4,158,,45.3,
R,31969,Varanus,eremius,Varanus_eremius,2/2 x 10-12mm,,4,135,,41,
R,32043,Varanus,eremius,Varanus_eremius,2/2 x 6-8mm,,4,136,,40.2,
R,32512,Varanus,eremius,Varanus_eremius,2/2 x 9mm,,4,145,,33.8,
R,32646,Varanus,eremius,Varanus_eremius,3/1 x 15mm,,4,137,,37.9,
B,32789,Varanus,eremius,Varanus_eremius,2/2 x 12mm,,4,144,,50,
E,10108,Varanus,gouldii,Varanus_gouldii,,3/3 x ?,6,25,,,
E,10152,Varanus,gouldii,Varanus_gouldii,,4/4 x ?,8,33,,,
E,10159,Varanus,gouldii,Varanus_gouldii,,2/4 x ?,6,25,,,
,12164,Varanus,gouldii,Varanus_gouldii,5/6 x ?,,11,,355,291,
,12324,Varanus,gouldii,Varanus_gouldii,7/12 x?,,19,,271,280,
,12330,Varanus,gouldii,Varanus_gouldii,10/8 x?,,18,,415,325,
I,12758,Varanus,gouldii,Varanus_gouldii,,5/2 x?,7,29,652,344,0.044478528
I,12853,Varanus,gouldii,Varanus_gouldii,,3/2 x ?,5,21,400,312,0.0525
,12932,Varanus,gouldii,Varanus_gouldii,9/10 x ?,,19,,405,337,
,13389,Varanus,gouldii,Varanus_gouldii,11/9 x ?,,20,,300,290,
L,1039,Varanus,gouldii,Varanus_gouldii,5/5 8mm lge Ovar,,10,,560,330,
R,1507,Varanus,gouldii,Varanus_gouldii,3/2~20-25mmDia,,5,,433,306,
R,1532,Varanus,gouldii,Varanus_gouldii,3/5~25mmDiam,68cc Total Volume,8,68,427,305,0.159250585
R,1605,Varanus,gouldii,Varanus_gouldii,3/3~22-25mm,53.5cc TotVol,6,53.5,448,312,0.119419643
R,1814,Varanus,gouldii,Varanus_gouldii,6/2 lge yolked,,8,,310,353,
R,1937,Varanus,gouldii,Varanus_gouldii,4~20mm lge yolk,,4,,413,327,
R,2525,Varanus,gouldii,Varanus_gouldii,4/3~3mm Ovarian,,7,,311,310,
I,33811,Varanus,gouldii,Varanus_gouldii,,,3,41.58,297,274,0.14
I,12853,Varanus,gouldii,Varanus_gouldii,,,5,21,400,312,0.053
,10108,Varanus,gouldii,Varanus_gouldii,,,6,25,380,,0.066
,10159,Varanus,gouldii,Varanus_gouldii,,,6,25,380,,0.066
I,12758,Varanus,gouldii,Varanus_gouldii,,,7,29,652,344,0.044
,10152,Varanus,gouldii,Varanus_gouldii,,,8,33,765,,0.043
L,925,Varanus,tristis,Varanus_tristis,5/7 x 4mm,,12,,228,270,
R,962,Varanus,tristis,Varanus_tristis,2/3 x 9mm,,5,,200,254,
L,1012,Varanus,tristis,Varanus_tristis,4/5 x 15mm,,9,,198,248,
L,1058,Varanus,tristis,Varanus_tristis,,3/5 x Large,8,24,199,245,0.120603015
R,1073,Varanus,tristis,Varanus_tristis,5/5 x 15mm,,10,,219,255,
R,1089,Varanus,tristis,Varanus_tristis,4/6 x 15mm,,10,,170,222,
R,1167,Varanus,tristis,Varanus_tristis,,8/6 x  Large,14,38,231,254,0.164502165
R,1188,Varanus,tristis,Varanus_tristis,,6/5 x  Large,11,27,185.5,245,0.145552561
R,1189,Varanus,tristis,Varanus_tristis,6/3 x 10mm,,9,,186,242,
R,1211,Varanus,tristis,Varanus_tristis,5/3 x 10-12mm,,8,,148,222,
L,1279,Varanus,tristis,Varanus_tristis,,4/4 x Large,8,24.5,205,238,0.119512195
L,1308,Varanus,tristis,Varanus_tristis,,6/5 x Large,11,44.5,214,250,0.207943925
L,1326,Varanus,tristis,Varanus_tristis,,4/4 x Large,8,34,215,240,0.158139535
R,1447,Varanus,tristis,Varanus_tristis,,4/4 x Large,8,30,182,234,0.164835165
R,1482,Varanus,tristis,Varanus_tristis,,5/5 x,10,40,282,269,0.141843972
R,1500,Varanus,tristis,Varanus_tristis,,8/7 x,15,54,298,264,0.181208054
R,1508,Varanus,tristis,Varanus_tristis,4/2 x 5mm,,6,,175,252,0
R,1563,Varanus,tristis,Varanus_tristis,,8/9 x,17,64,317,289,0.201892744
R,1564,Varanus,tristis,Varanus_tristis,,5/5 x,10,33,186,240,0.177419355
G,12355,Varanus,tristis,Varanus_tristis,6/4 x 8mm,,10,,264,240,
R,25315,Varanus,tristis,Varanus_tristis,6/4 x 11-12mm,,10,,261,216,
,33217,Pogona,minor,Pogona_minor,,8x12x25,8,,62.2,125,
